frame number,publisher_sent,subscriber_received,latency
5024,1706560263836,1706560263873,37
5025,1706560263889,1706560263926,37
5026,1706560263941,1706560263977,36
5027,1706560263993,1706560264028,35
5028,1706560264043,1706560264080,37
5029,1706560264095,1706560264132,37
5030,1706560264147,1706560264182,35
5031,1706560264198,1706560264235,37
5032,1706560264251,1706560264286,35
5033,1706560264302,1706560264339,37
5034,1706560264354,1706560264391,37
5035,1706560264406,1706560264447,41
5036,1706560264462,1706560264498,36
5037,1706560264513,1706560264548,35
5038,1706560264564,1706560264601,37
5039,1706560264616,1706560264652,36
5040,1706560264667,1706560264704,37
5041,1706560264719,1706560264755,36
5042,1706560264771,1706560264808,37
5043,1706560264824,1706560264859,35
5044,1706560264874,1706560264910,36
5045,1706560264926,1706560264964,38
5046,1706560264978,1706560265015,37
5047,1706560265030,1706560265067,37
5048,1706560265083,1706560265118,35
5049,1706560265133,1706560265169,36
5050,1706560265184,1706560265222,38
5051,1706560265237,1706560265273,36
5052,1706560265289,1706560265326,37
5053,1706560265341,1706560265378,37
5054,1706560265393,1706560265430,37
5055,1706560265446,1706560265483,37
5056,1706560265498,1706560265534,36
5057,1706560265549,1706560265585,36
5058,1706560265599,1706560265635,36
5059,1706560265651,1706560265687,36
5060,1706560265702,1706560265736,34
5061,1706560265751,1706560265789,38
5062,1706560265804,1706560265841,37
5063,1706560265856,1706560265898,42
5064,1706560265913,1706560265949,36
5065,1706560265964,1706560265999,35
5066,1706560266014,1706560266050,36
5067,1706560266066,1706560266101,35
5068,1706560266116,1706560266152,36
5069,1706560266167,1706560266202,35
5070,1706560266218,1706560266255,37
5071,1706560266270,1706560266307,37
5072,1706560266322,1706560266357,35
5073,1706560266373,1706560266409,36
5074,1706560266424,1706560266459,35
5075,1706560266475,1706560266511,36
5076,1706560266527,1706560266564,37
5077,1706560266579,1706560266615,36
5078,1706560266631,1706560266666,35
5079,1706560266681,1706560266716,35
5080,1706560266732,1706560266769,37
5081,1706560266784,1706560266819,35
5082,1706560266834,1706560266871,37
5083,1706560266886,1706560266922,36
5084,1706560266937,1706560266973,36
5085,1706560266989,1706560267024,35
