frame number,publisher_sent,subscriber_received,latency
19002,1707190401895929,1707190401901394,5465
19003,1707190401907128,1707190401914145,7017
19004,1707190401919065,1707190401925226,6161
19005,1707190401931873,1707190401939669,7796
19006,1707190401944668,1707190401950887,6219
19007,1707190401955883,1707190401962810,6927
19008,1707190401967827,1707190401974853,7026
19009,1707190401979842,1707190401986241,6399
19010,1707190401991213,1707190401998199,6986
19011,1707190402003515,1707190402010281,6766
19012,1707190402015298,1707190402022336,7038
19013,1707190402027431,1707190402033585,6154
19014,1707190402040076,1707190402048348,8272
19015,1707190402053943,1707190402061117,7174
19016,1707190402066131,1707190402072381,6250
19017,1707190402077448,1707190402086692,9244
19018,1707190402091662,1707190402097855,6193
19019,1707190402102784,1707190402110469,7685
19020,1707190402115440,1707190402121596,6156
19021,1707190402126538,1707190402133515,6977
19022,1707190402138966,1707190402146525,7559
19023,1707190402151527,1707190402157611,6084
19024,1707190402162545,1707190402169571,7026
19025,1707190402174512,1707190402180646,6134
19026,1707190402186340,1707190402194253,7913
19027,1707190402200429,1707190402207002,6573
19028,1707190402211986,1707190402219011,7025
19029,1707190402224019,1707190402230160,6141
19030,1707190402235099,1707190402241238,6139
19031,1707190402246745,1707190402253945,7200
19032,1707190402258878,1707190402265086,6208
19033,1707190402270091,1707190402277014,6923
19034,1707190402282963,1707190402290034,7071
19035,1707190402295699,1707190402303384,7685
19036,1707190402308391,1707190402314604,6213
19037,1707190402319608,1707190402325707,6099
19038,1707190402330640,1707190402337654,7014
19039,1707190402342617,1707190402348765,6148
19040,1707190402353856,1707190402360821,6965
19041,1707190402365876,1707190402371956,6080
19042,1707190402376970,1707190402384009,7039
19043,1707190402390337,1707190402396716,6379
19044,1707190402401774,1707190402409992,8218
19045,1707190402414873,1707190402421878,7005
19046,1707190402426813,1707190402433001,6188
19047,1707190402438047,1707190402444949,6902
19048,1707190402450018,1707190402456152,6134
19049,1707190402461142,1707190402468121,6979
19050,1707190402473118,1707190402479954,6836
19051,1707190402484932,1707190402491137,6205
19052,1707190402496139,1707190402503183,7044
19053,1707190402508918,1707190402515925,7007
19054,1707190402520918,1707190402528171,7253
19055,1707190402533170,1707190402539364,6194
19056,1707190402544358,1707190402551359,7001
19057,1707190402556377,1707190402562519,6142
19058,1707190402567512,1707190402574609,7097
19059,1707190402579610,1707190402586607,6997
19060,1707190402591608,1707190402597799,6191
19061,1707190402602745,1707190402609713,6968
19062,1707190402614653,1707190402620818,6165
19063,1707190402625901,1707190402632756,6855
19064,1707190402637822,1707190402645016,7194
19065,1707190402650047,1707190402656918,6871
19066,1707190402661965,1707190402670913,8948
19067,1707190402675915,1707190402682021,6106
19068,1707190402686969,1707190402694001,7032
19069,1707190402698935,1707190402705045,6110
19070,1707190402710129,1707190402717114,6985
19071,1707190402723699,1707190402730783,7084
19072,1707190402735779,1707190402742875,7096
19073,1707190402747901,1707190402754857,6956
19074,1707190402759876,1707190402766068,6192
19075,1707190402771035,1707190402778014,6979
19076,1707190402784613,1707190402791685,7072
19077,1707190402796677,1707190402803665,6988
19078,1707190402808672,1707190402814894,6222
19079,1707190402819902,1707190402826869,6967
19080,1707190402831877,1707190402839018,7141
19081,1707190402844007,1707190402850133,6126
19082,1707190402855080,1707190402862075,6995
19083,1707190402867019,1707190402873146,6127
19084,1707190402878149,1707190402885213,7064
19085,1707190402890122,1707190402896209,6087
19086,1707190402901212,1707190402908642,7430
19087,1707190402913617,1707190402920682,7065
19088,1707190402925723,1707190402932290,6567
19089,1707190402937349,1707190402944215,6866
19090,1707190402949221,1707190402955396,6175
19091,1707190402960379,1707190402967359,6980
19092,1707190402972360,1707190402978616,6256
19093,1707190402983616,1707190402990558,6942
19094,1707190402995559,1707190403001842,6283
19095,1707190403006935,1707190403012976,6041
19096,1707190403018050,1707190403025043,6993
