frame number,publisher_sent,subscriber_received,latency
12312,1706566634705,1706566634707,2
12313,1706566634715,1706566634716,1
12314,1706566634723,1706566634724,1
12315,1706566634732,1706566634732,0
12316,1706566634740,1706566634740,0
12317,1706566634748,1706566634748,0
12318,1706566634756,1706566634757,1
12319,1706566634764,1706566634765,1
12320,1706566634772,1706566634773,1
12321,1706566634781,1706566634781,0
12322,1706566634789,1706566634789,0
12323,1706566634797,1706566634798,1
12324,1706566634805,1706566634806,1
12325,1706566634813,1706566634814,1
12326,1706566634822,1706566634822,0
12327,1706566634830,1706566634830,0
12328,1706566634838,1706566634839,1
12329,1706566634846,1706566634847,1
12330,1706566634855,1706566634855,0
12331,1706566634863,1706566634864,1
12332,1706566634871,1706566634872,1
12333,1706566634879,1706566634880,1
12334,1706566634888,1706566634888,0
12335,1706566634896,1706566634896,0
12336,1706566634904,1706566634904,0
12337,1706566634912,1706566634913,1
12338,1706566634920,1706566634921,1
12339,1706566634929,1706566634929,0
12340,1706566634937,1706566634937,0
12341,1706566634945,1706566634946,1
12342,1706566634953,1706566634954,1
12343,1706566634961,1706566634962,1
12344,1706566634970,1706566634970,0
12345,1706566634978,1706566634978,0
12346,1706566634986,1706566634986,0
12347,1706566634994,1706566634995,1
12348,1706566635002,1706566635003,1
12349,1706566635010,1706566635011,1
12350,1706566635019,1706566635019,0
12351,1706566635027,1706566635027,0
12352,1706566635035,1706566635036,1
12353,1706566635043,1706566635044,1
12354,1706566635051,1706566635052,1
12355,1706566635060,1706566635060,0
12356,1706566635068,1706566635068,0
12357,1706566635076,1706566635076,0
12358,1706566635084,1706566635085,1
12359,1706566635092,1706566635093,1
12360,1706566635100,1706566635101,1
12361,1706566635109,1706566635109,0
12362,1706566635117,1706566635118,1
12363,1706566635125,1706566635126,1
12364,1706566635133,1706566635134,1
12365,1706566635142,1706566635142,0
12366,1706566635150,1706566635150,0
12367,1706566635158,1706566635158,0
12368,1706566635166,1706566635167,1
12369,1706566635174,1706566635175,1
12370,1706566635182,1706566635183,1
12371,1706566635191,1706566635191,0
12372,1706566635199,1706566635199,0
12373,1706566635207,1706566635207,0
12374,1706566635215,1706566635216,1
12375,1706566635223,1706566635224,1
12376,1706566635232,1706566635232,0
12377,1706566635240,1706566635240,0
12378,1706566635248,1706566635248,0
12379,1706566635256,1706566635257,1
12380,1706566635264,1706566635265,1
12381,1706566635272,1706566635273,1
12382,1706566635281,1706566635281,0
12383,1706566635289,1706566635290,1
12384,1706566635297,1706566635298,1
12385,1706566635305,1706566635306,1
12386,1706566635314,1706566635314,0
12387,1706566635322,1706566635322,0
12388,1706566635330,1706566635330,0
12389,1706566635338,1706566635339,1
12390,1706566635346,1706566635347,1
12391,1706566635354,1706566635355,1
12392,1706566635363,1706566635363,0
12393,1706566635371,1706566635371,0
12394,1706566635379,1706566635380,1
12395,1706566635387,1706566635388,1
12396,1706566635396,1706566635396,0
12397,1706566635404,1706566635405,1
12398,1706566635412,1706566635413,1
12399,1706566635420,1706566635421,1
12400,1706566635429,1706566635429,0
12401,1706566635437,1706566635437,0
12402,1706566635445,1706566635446,1
12403,1706566635453,1706566635454,1
12404,1706566635461,1706566635462,1
12405,1706566635470,1706566635470,0
12406,1706566635478,1706566635478,0
12407,1706566635486,1706566635486,0
12408,1706566635494,1706566635495,1
12409,1706566635502,1706566635503,1
12410,1706566635510,1706566635511,1
12411,1706566635519,1706566635519,0
12412,1706566635527,1706566635527,0
12413,1706566635535,1706566635535,0
12414,1706566635543,1706566635543,0
12415,1706566635551,1706566635552,1
12416,1706566635559,1706566635560,1
12417,1706566635567,1706566635568,1
12418,1706566635576,1706566635576,0
12419,1706566635584,1706566635584,0
12420,1706566635592,1706566635592,0
12421,1706566635600,1706566635601,1
12422,1706566635608,1706566635609,1
12423,1706566635617,1706566635617,0
12424,1706566635625,1706566635625,0
12425,1706566635633,1706566635634,1
12426,1706566635642,1706566635642,0
12427,1706566635650,1706566635651,1
12428,1706566635658,1706566635659,1
12429,1706566635667,1706566635667,0
12430,1706566635675,1706566635675,0
12431,1706566635683,1706566635684,1
12432,1706566635691,1706566635692,1
12433,1706566635699,1706566635700,1
12434,1706566635708,1706566635708,0
12435,1706566635716,1706566635716,0
12436,1706566635724,1706566635725,1
12437,1706566635732,1706566635733,1
12438,1706566635740,1706566635741,1
12439,1706566635749,1706566635749,0
12440,1706566635757,1706566635757,0
12441,1706566635765,1706566635766,1
12442,1706566635773,1706566635774,1
12443,1706566635782,1706566635782,0
12444,1706566635790,1706566635790,0
12445,1706566635798,1706566635798,0
12446,1706566635806,1706566635807,1
12447,1706566635814,1706566635815,1
12448,1706566635822,1706566635823,1
12449,1706566635831,1706566635831,0
12450,1706566635839,1706566635839,0
12451,1706566635847,1706566635847,0
12452,1706566635855,1706566635856,1
12453,1706566635863,1706566635864,1
12454,1706566635871,1706566635872,1
12455,1706566635880,1706566635880,0
12456,1706566635888,1706566635888,0
12457,1706566635896,1706566635896,0
12458,1706566635904,1706566635905,1
12459,1706566635912,1706566635913,1
12460,1706566635920,1706566635921,1
12461,1706566635929,1706566635929,0
12462,1706566635937,1706566635937,0
12463,1706566635945,1706566635946,1
12464,1706566635953,1706566635954,1
12465,1706566635961,1706566635962,1
12466,1706566635970,1706566635970,0
12467,1706566635978,1706566635978,0
12468,1706566635986,1706566635987,1
12469,1706566635994,1706566635995,1
12470,1706566636002,1706566636003,1
12471,1706566636011,1706566636011,0
12472,1706566636019,1706566636019,0
12473,1706566636027,1706566636027,0
12474,1706566636035,1706566636036,1
12475,1706566636043,1706566636044,1
12476,1706566636052,1706566636053,1
12477,1706566636060,1706566636061,1
12478,1706566636069,1706566636069,0
12479,1706566636077,1706566636078,1
12480,1706566636085,1706566636086,1
12481,1706566636093,1706566636094,1
12482,1706566636102,1706566636102,0
12483,1706566636110,1706566636110,0
12484,1706566636118,1706566636119,1
12485,1706566636126,1706566636127,1
12486,1706566636134,1706566636135,1
12487,1706566636143,1706566636143,0
12488,1706566636151,1706566636151,0
12489,1706566636159,1706566636159,0
12490,1706566636167,1706566636168,1
12491,1706566636175,1706566636176,1
12492,1706566636184,1706566636184,0
12493,1706566636192,1706566636192,0
12494,1706566636200,1706566636200,0
12495,1706566636208,1706566636209,1
12496,1706566636216,1706566636217,1
12497,1706566636225,1706566636225,0
12498,1706566636233,1706566636233,0
12499,1706566636241,1706566636242,1
12500,1706566636249,1706566636250,1
12501,1706566636257,1706566636258,1
12502,1706566636266,1706566636266,0
12503,1706566636274,1706566636274,0
12504,1706566636282,1706566636282,0
12505,1706566636290,1706566636291,1
12506,1706566636298,1706566636299,1
12507,1706566636306,1706566636307,1
12508,1706566636315,1706566636315,0
12509,1706566636323,1706566636323,0
12510,1706566636331,1706566636331,0
12511,1706566636339,1706566636340,1
12512,1706566636347,1706566636348,1
