frame number,publisher_sent,subscriber_received,latency
10002,1708297397245035,1708297397303847,58812
10003,1708297397325723,1708297397370549,44826
10004,1708297397391932,1708297397436758,44826
10005,1708297397458479,1708297397503658,45179
10006,1708297397525472,1708297397570540,45068
10007,1708297397591954,1708297397636552,44598
10008,1708297397658390,1708297397703215,44825
10009,1708297397724848,1708297397769654,44806
10010,1708297397791429,1708297397836166,44737
10011,1708297397857783,1708297397902686,44903
10012,1708297397924539,1708297397969604,45065
10013,1708297397991378,1708297398036429,45051
10014,1708297398058041,1708297398102895,44854
10015,1708297398124755,1708297398170306,45551
10016,1708297398191617,1708297398236588,44971
10017,1708297398258398,1708297398303363,44965
10018,1708297398324965,1708297398374291,49326
10019,1708297398395985,1708297398440918,44933
10020,1708297398462676,1708297398507942,45266
10021,1708297398529581,1708297398574675,45094
10022,1708297398596425,1708297398643039,46614
10023,1708297398666211,1708297398712063,45852
10024,1708297398736181,1708297398781828,45647
10025,1708297398805159,1708297398850978,45819
10026,1708297398874205,1708297398920207,46002
10027,1708297398943365,1708297398988757,45392
10028,1708297399011883,1708297399057444,45561
10029,1708297399105166,1708297399154048,48882
10030,1708297399177181,1708297399222607,45426
10031,1708297399245963,1708297399292489,46526
10032,1708297399315727,1708297399361499,45772
10033,1708297399384634,1708297399430036,45402
10034,1708297399453236,1708297399498958,45722
10035,1708297399522182,1708297399567752,45570
10036,1708297399590817,1708297399636162,45345
10037,1708297399659422,1708297399705130,45708
10038,1708297399728309,1708297399774066,45757
10039,1708297399797240,1708297399842764,45524
10040,1708297399865794,1708297399911575,45781
10041,1708297399934770,1708297399980138,45368
10042,1708297400003369,1708297400049318,45949
10043,1708297400072469,1708297400117908,45439
10044,1708297400140957,1708297400186679,45722
10045,1708297400209923,1708297400255539,45616
10046,1708297400278373,1708297400323856,45483
10047,1708297400347427,1708297400392544,45117
10048,1708297400415808,1708297400461429,45621
10049,1708297400484693,1708297400529973,45280
10050,1708297400553134,1708297400598622,45488
10051,1708297400621855,1708297400667490,45635
10052,1708297400690407,1708297400736135,45728
10053,1708297400759402,1708297400804800,45398
10054,1708297400828034,1708297400873665,45631
10055,1708297400896915,1708297400942264,45349
10056,1708297400965262,1708297401010761,45499
10057,1708297401033868,1708297401079727,45859
10058,1708297401102837,1708297401148372,45535
10059,1708297401171718,1708297401217190,45472
10060,1708297401239978,1708297401285416,45438
10061,1708297401308622,1708297401354236,45614
10062,1708297401377377,1708297401422677,45300
10063,1708297401445768,1708297401491447,45679
10064,1708297401514569,1708297401559785,45216
10065,1708297401583052,1708297401628770,45718
10066,1708297401651870,1708297401698182,46312
10067,1708297401721442,1708297401767222,45780
10068,1708297401790334,1708297401835852,45518
10069,1708297401859029,1708297401904684,45655
10070,1708297401927925,1708297401973167,45242
10071,1708297401996427,1708297402043134,46707
10072,1708297402066297,1708297402111872,45575
10074,1708297402205154,1708297402250728,45574
10075,1708297402274599,1708297402320133,45534
10076,1708297402343372,1708297402389606,46234
10077,1708297402412877,1708297402458519,45642
10078,1708297402481674,1708297402526889,45215
10079,1708297402550194,1708297402595733,45539
10080,1708297402618966,1708297402664527,45561
10081,1708297402687949,1708297402733806,45857
10082,1708297402756800,1708297402802337,45537
10083,1708297402825659,1708297402871425,45766
10084,1708297402894393,1708297402940050,45657
10085,1708297402963379,1708297403009393,46014
10086,1708297403032529,1708297403077923,45394
10087,1708297403101290,1708297403147200,45910
10088,1708297403170321,1708297403215795,45474
10089,1708297403239020,1708297403287829,48809
10090,1708297403311194,1708297403356528,45334
10091,1708297403379767,1708297403425646,45879
10092,1708297403448724,1708297403494228,45504
10093,1708297403517390,1708297403563125,45735
10094,1708297403586272,1708297403631783,45511
10095,1708297403655026,1708297403700789,45763
10096,1708297403725561,1708297403774147,48586
10097,1708297403797044,1708297403842653,45609
10098,1708297403865924,1708297403911810,45886
10099,1708297403935124,1708297403980774,45650
10100,1708297404003994,1708297404049300,45306
10101,1708297404072641,1708297404118262,45621
10102,1708297404141460,1708297404187380,45920
10103,1708297404210596,1708297404255984,45388
10104,1708297404279278,1708297404324589,45311
10105,1708297404348106,1708297404393688,45582
10106,1708297404416883,1708297404462366,45483
10107,1708297404485673,1708297404531670,45997
10108,1708297404554903,1708297404600392,45489
10109,1708297404623644,1708297404669461,45817
10110,1708297404692842,1708297404738252,45410
10111,1708297404761583,1708297404807287,45704
10112,1708297404830677,1708297404876314,45637
10113,1708297404899604,1708297404945207,45603
10114,1708297404968580,1708297405014434,45854
10115,1708297405037594,1708297405082913,45319
10116,1708297405106175,1708297405151614,45439
10117,1708297405175026,1708297405228181,53155
10118,1708297405249599,1708297405295208,45609
