frame number,publisher_sent,subscriber_received,latency
8053,1706576391277,1706576391281,4
8054,1706576391290,1706576391293,3
8055,1706576391303,1706576391306,3
8056,1706576391316,1706576391319,3
8057,1706576391329,1706576391332,3
8058,1706576391342,1706576391346,4
8059,1706576391355,1706576391358,3
8060,1706576391367,1706576391370,3
8061,1706576391380,1706576391383,3
8062,1706576391393,1706576391395,2
8063,1706576391405,1706576391408,3
8064,1706576391418,1706576391420,2
8065,1706576391430,1706576391433,3
8066,1706576391443,1706576391446,3
8067,1706576391456,1706576391458,2
8068,1706576391468,1706576391471,3
8069,1706576391481,1706576391484,3
8070,1706576391494,1706576391497,3
8071,1706576391507,1706576391510,3
8072,1706576391519,1706576391522,3
8073,1706576391532,1706576391535,3
8074,1706576391545,1706576391548,3
8075,1706576391558,1706576391561,3
8076,1706576391570,1706576391573,3
8077,1706576391583,1706576391586,3
8078,1706576391596,1706576391598,2
8079,1706576391609,1706576391611,2
8080,1706576391621,1706576391624,3
8081,1706576391634,1706576391637,3
8082,1706576391647,1706576391650,3
8083,1706576391660,1706576391663,3
8084,1706576391673,1706576391676,3
8085,1706576391686,1706576391688,2
8086,1706576391698,1706576391701,3
8087,1706576391711,1706576391714,3
8088,1706576391724,1706576391727,3
8089,1706576391737,1706576391740,3
8090,1706576391750,1706576391754,4
8091,1706576391763,1706576391766,3
8092,1706576391776,1706576391778,2
8093,1706576391789,1706576391791,2
8094,1706576391802,1706576391804,2
8095,1706576391814,1706576391817,3
8096,1706576391827,1706576391829,2
8097,1706576391840,1706576391842,2
8098,1706576391852,1706576391854,2
8099,1706576391865,1706576391867,2
8100,1706576391877,1706576391880,3
8101,1706576391890,1706576391892,2
8102,1706576391902,1706576391905,3
8103,1706576391915,1706576391917,2
8104,1706576391928,1706576391930,2
8105,1706576391940,1706576391942,2
8106,1706576391953,1706576391955,2
8107,1706576391965,1706576391967,2
8108,1706576391978,1706576391980,2
8109,1706576391991,1706576391993,2
8110,1706576392003,1706576392005,2
8111,1706576392016,1706576392018,2
8112,1706576392028,1706576392030,2
8113,1706576392041,1706576392043,2
8114,1706576392053,1706576392056,3
8115,1706576392066,1706576392068,2
8116,1706576392078,1706576392081,3
8117,1706576392091,1706576392093,2
8118,1706576392103,1706576392106,3
8119,1706576392116,1706576392118,2
8120,1706576392129,1706576392131,2
8121,1706576392142,1706576392144,2
8122,1706576392154,1706576392157,3
8123,1706576392167,1706576392170,3
8124,1706576392180,1706576392183,3
8125,1706576392193,1706576392196,3
8126,1706576392206,1706576392209,3
8127,1706576392219,1706576392222,3
8128,1706576392232,1706576392234,2
8129,1706576392244,1706576392247,3
8130,1706576392257,1706576392259,2
8131,1706576392269,1706576392271,2
8132,1706576392282,1706576392284,2
8133,1706576392294,1706576392297,3
8134,1706576392307,1706576392309,2
8135,1706576392319,1706576392322,3
8136,1706576392332,1706576392334,2
8137,1706576392345,1706576392347,2
8138,1706576392357,1706576392359,2
8139,1706576392370,1706576392372,2
8140,1706576392382,1706576392385,3
8141,1706576392395,1706576392397,2
8142,1706576392407,1706576392410,3
8143,1706576392420,1706576392422,2
8144,1706576392433,1706576392435,2
8145,1706576392445,1706576392447,2
8146,1706576392458,1706576392460,2
8147,1706576392471,1706576392473,2
8148,1706576392483,1706576392485,2
8149,1706576392496,1706576392498,2
8150,1706576392508,1706576392510,2
8151,1706576392521,1706576392523,2
8152,1706576392533,1706576392536,3
8153,1706576392546,1706576392548,2
8154,1706576392559,1706576392561,2
8155,1706576392571,1706576392574,3
8156,1706576392584,1706576392586,2
8157,1706576392596,1706576392598,2
8158,1706576392609,1706576392611,2
8159,1706576392621,1706576392623,2
8160,1706576392634,1706576392636,2
8161,1706576392646,1706576392648,2
8162,1706576392659,1706576392661,2
8163,1706576392671,1706576392673,2
8164,1706576392684,1706576392686,2
8165,1706576392697,1706576392699,2
8166,1706576392709,1706576392712,3
8167,1706576392722,1706576392724,2
8168,1706576392734,1706576392737,3
8169,1706576392747,1706576392750,3
8170,1706576392760,1706576392762,2
8171,1706576392773,1706576392775,2
8172,1706576392785,1706576392788,3
8173,1706576392798,1706576392800,2
8174,1706576392811,1706576392813,2
8175,1706576392823,1706576392825,2
8176,1706576392836,1706576392838,2
8177,1706576392848,1706576392850,2
8178,1706576392861,1706576392863,2
8179,1706576392873,1706576392875,2
8180,1706576392886,1706576392889,3
8181,1706576392899,1706576392901,2
8182,1706576392911,1706576392914,3
8183,1706576392924,1706576392927,3
8184,1706576392937,1706576392940,3
8185,1706576392950,1706576392953,3
8186,1706576392963,1706576392965,2
8187,1706576392975,1706576392978,3
8188,1706576392988,1706576392991,3
8189,1706576393001,1706576393003,2
8190,1706576393014,1706576393016,2
8191,1706576393027,1706576393029,2
8192,1706576393039,1706576393041,2
8193,1706576393052,1706576393054,2
8194,1706576393064,1706576393067,3
8195,1706576393077,1706576393079,2
8196,1706576393090,1706576393092,2
8197,1706576393102,1706576393104,2
8198,1706576393115,1706576393117,2
8199,1706576393127,1706576393129,2
8200,1706576393140,1706576393142,2
8201,1706576393152,1706576393155,3
8202,1706576393165,1706576393167,2
8203,1706576393178,1706576393180,2
8204,1706576393190,1706576393203,13
8205,1706576393208,1706576393212,4
8206,1706576393220,1706576393224,4
8207,1706576393233,1706576393237,4
8208,1706576393246,1706576393250,4
8209,1706576393259,1706576393262,3
8210,1706576393271,1706576393274,3
8211,1706576393284,1706576393288,4
8212,1706576393298,1706576393301,3
8213,1706576393311,1706576393314,3
8214,1706576393324,1706576393327,3
8215,1706576393337,1706576393340,3
8216,1706576393357,1706576393361,4
8217,1706576393370,1706576393375,5
8218,1706576393385,1706576393388,3
8219,1706576393398,1706576393401,3
8220,1706576393411,1706576393413,2
8221,1706576393424,1706576393427,3
8222,1706576393437,1706576393439,2
8223,1706576393450,1706576393452,2
8224,1706576393462,1706576393465,3
8225,1706576393475,1706576393478,3
8226,1706576393488,1706576393491,3
8227,1706576393501,1706576393504,3
8228,1706576393514,1706576393517,3
8229,1706576393527,1706576393530,3
8230,1706576393540,1706576393543,3
8231,1706576393553,1706576393555,2
8232,1706576393565,1706576393568,3
8233,1706576393578,1706576393580,2
8234,1706576393591,1706576393593,2
8235,1706576393603,1706576393605,2
8236,1706576393616,1706576393618,2
8237,1706576393628,1706576393631,3
8238,1706576393641,1706576393643,2
8239,1706576393653,1706576393656,3
8240,1706576393666,1706576393669,3
8241,1706576393679,1706576393682,3
8242,1706576393692,1706576393695,3
8243,1706576393705,1706576393708,3
8244,1706576393718,1706576393720,2
8245,1706576393731,1706576393733,2
8246,1706576393743,1706576393746,3
8247,1706576393756,1706576393759,3
8248,1706576393769,1706576393771,2
8249,1706576393782,1706576393784,2
8250,1706576393794,1706576393796,2
8251,1706576393807,1706576393809,2
8252,1706576393819,1706576393821,2
8253,1706576393832,1706576393834,2
8254,1706576393844,1706576393846,2
8255,1706576393857,1706576393859,2
8256,1706576393869,1706576393872,3
8257,1706576393882,1706576393885,3
8258,1706576393895,1706576393898,3
8259,1706576393908,1706576393911,3
8260,1706576393921,1706576393924,3
8261,1706576393934,1706576393936,2
8262,1706576393947,1706576393949,2
8263,1706576393960,1706576393962,2
8264,1706576393972,1706576393975,3
8265,1706576393985,1706576393988,3
8266,1706576393998,1706576394000,2
8267,1706576394010,1706576394013,3
8268,1706576394023,1706576394025,2
8269,1706576394036,1706576394038,2
8270,1706576394048,1706576394050,2
8271,1706576394060,1706576394063,3
8272,1706576394073,1706576394075,2
8273,1706576394086,1706576394088,2
8274,1706576394098,1706576394101,3
8275,1706576394111,1706576394114,3
8276,1706576394124,1706576394127,3
8277,1706576394137,1706576394139,2
8278,1706576394150,1706576394152,2
8279,1706576394162,1706576394165,3
8280,1706576394175,1706576394178,3
8281,1706576394188,1706576394191,3
8282,1706576394201,1706576394203,2
8283,1706576394213,1706576394215,2
8284,1706576394226,1706576394228,2
8285,1706576394238,1706576394240,2
