frame number,publisher_sent,subscriber_received,latency
2002,1708053126584772,1708053126589406,4634
2003,1708053126656756,1708053126669566,12810
2004,1708053126738071,1708053126739423,1352
2005,1708053126806822,1708053126808400,1578
2006,1708053126875684,1708053126876645,961
2007,1708053126943812,1708053126944792,980
2008,1708053127011939,1708053127012878,939
2009,1708053127080031,1708053127081041,1010
2010,1708053127148200,1708053127149216,1016
2011,1708053127216382,1708053127217365,983
2012,1708053127284633,1708053127285598,965
2013,1708053127352763,1708053127353758,995
2014,1708053127420966,1708053127421956,990
2015,1708053127489127,1708053127490115,988
2016,1708053127557281,1708053127558257,976
2017,1708053127625454,1708053127626426,972
2018,1708053127693679,1708053127694639,960
2019,1708053127761804,1708053127772712,10908
2020,1708053127839819,1708053127840670,851
2021,1708053127907770,1708053127908610,840
2022,1708053127975710,1708053127976495,785
2023,1708053128043676,1708053128044458,782
2024,1708053128111672,1708053128112475,803
2025,1708053128179007,1708053128179711,704
2026,1708053128246363,1708053128247784,1421
2027,1708053128314179,1708053128315497,1318
2028,1708053128381973,1708053128383293,1320
2029,1708053128449765,1708053128451055,1290
2030,1708053128517638,1708053128518964,1326
2031,1708053128585329,1708053128586733,1404
2032,1708053128653093,1708053128654380,1287
2033,1708053128720870,1708053128722107,1237
2034,1708053128788726,1708053128790013,1287
2035,1708053128856418,1708053128858157,1739
2036,1708053128924471,1708053128925967,1496
2037,1708053128992323,1708053128993763,1440
2038,1708053129060205,1708053129061645,1440
2039,1708053129128089,1708053129129938,1849
2040,1708053129196127,1708053129197357,1230
2041,1708053129263833,1708053129264978,1145
2042,1708053129331361,1708053129332373,1012
2043,1708053129398874,1708053129399905,1031
2044,1708053129466339,1708053129467371,1032
2045,1708053129533884,1708053129534912,1028
2046,1708053129601341,1708053129602361,1020
2047,1708053129668880,1708053129669918,1038
2048,1708053129736351,1708053129737386,1035
2049,1708053129803894,1708053129804928,1034
2050,1708053129871359,1708053129872317,958
2051,1708053129939616,1708053129940478,862
2052,1708053130007665,1708053130008604,939
2053,1708053130075760,1708053130076709,949
2054,1708053130143876,1708053130144841,965
2055,1708053130212016,1708053130213033,1017
2056,1708053130280199,1708053130281146,947
2057,1708053130348316,1708053130349321,1005
2058,1708053130416603,1708053130417478,875
2059,1708053130484696,1708053130485681,985
2060,1708053130552977,1708053130553934,957
2061,1708053130621105,1708053130622033,928
2062,1708053130689197,1708053130690129,932
2063,1708053130757281,1708053130758222,941
2064,1708053130825380,1708053130826325,945
2065,1708053130894649,1708053130895550,901
2066,1708053130962704,1708053130963671,967
2067,1708053131030817,1708053131031735,918
2068,1708053131098906,1708053131099844,938
2069,1708053131166998,1708053131168033,1035
2070,1708053131235196,1708053131236130,934
2071,1708053131303289,1708053131304235,946
