frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
1,100,100,1705263030796474339,1705263030797851091,5,1376752,1,3
1,100,100,1705263030796474339,1705263030798233115,5,1758776,2,3
2,100,100,1705263030997234497,1705263030998114885,5,880388,3,3
2,100,100,1705263030997234497,1705263030998357233,5,1122736,4,3
3,100,100,1705263031197854646,1705263031198665030,5,810384,5,3
3,100,100,1705263031197854646,1705263031198951048,5,1096402,6,3
4,100,100,1705263031398472462,1705263031399334849,5,862387,7,3
4,100,100,1705263031398472462,1705263031399570197,5,1097735,8,3
5,100,100,1705263031599114613,1705263031600056338,5,941725,9,3
5,100,100,1705263031599114613,1705263031600328688,5,1214075,10,3
6,100,100,1705263031799743763,1705263031800628151,5,884388,11,3
6,100,100,1705263031799743763,1705263031800855498,5,1111735,12,3
7,100,100,1705263032000408915,1705263032001208631,5,799716,13,3
7,100,100,1705263032000408915,1705263032001417978,5,1009063,14,3
8,100,100,1705263032201020730,1705263032201739442,5,718712,15,3
8,100,100,1705263032201020730,1705263032202004792,5,984062,16,3
9,100,100,1705263032401562208,1705263032402356258,5,794050,17,3
9,100,100,1705263032401562208,1705263032402571938,5,1009730,18,3
10,100,100,1705263032602175024,1705263032603040744,5,865720,19,3
10,100,100,1705263032602175024,1705263032603269425,5,1094401,20,3
11,100,100,1705263032802786839,1705263032803642226,5,855387,21,3
11,100,100,1705263032802786839,1705263032803863906,5,1077067,22,3
12,100,100,1705263033003441658,1705263033004215373,5,773715,23,3
12,100,100,1705263033003441658,1705263033004434720,5,993062,24,3
13,100,100,1705263033204024805,1705263033204771851,5,747046,25,3
13,100,100,1705263033204024805,1705263033205009866,5,985061,26,3
14,100,100,1705263033404583951,1705263033405441004,5,857053,27,3
14,100,100,1705263033404583951,1705263033405669351,5,1085400,28,3
15,100,100,1705263033605229102,1705263033606168493,5,939391,29,3
15,100,100,1705263033605229102,1705263033606468179,5,1239077,30,3
16,100,100,1705263033805875919,1705263033806739640,5,863721,31,3
16,100,100,1705263033805875919,1705263033807021657,5,1145738,32,3
17,100,100,1705263034006532738,1705263034007409459,5,876721,33,3
17,100,100,1705263034006532738,1705263034007657141,5,1124403,34,3
18,100,100,1705263034207181222,1705263034208043276,5,862054,35,3
18,100,100,1705263034207181222,1705263034208262956,5,1081734,36,3
19,100,100,1705263034407786371,1705263034408561419,5,775048,37,3
19,100,100,1705263034407786371,1705263034408768099,5,981728,38,3
20,100,100,1705263034608379852,1705263034609374580,5,994728,39,3
20,100,100,1705263034608379852,1705263034609630596,5,1250744,40,3
21,100,100,1705263034809106008,1705263034810026065,5,920057,41,3
21,100,100,1705263034809106008,1705263034810251079,5,1145071,42,3
22,100,100,1705263035009765827,1705263035010682217,5,916390,43,3
22,100,100,1705263035009765827,1705263035010955901,5,1190074,44,3
23,100,100,1705263035210485982,1705263035211385705,5,899723,45,3
23,100,100,1705263035210485982,1705263035211685057,5,1199075,46,3
24,100,100,1705263035411141801,1705263035412030856,5,889055,47,3
24,100,100,1705263035411141801,1705263035412260870,5,1119069,48,3
25,100,100,1705263035611758617,1705263035612622337,5,863720,49,3
25,100,100,1705263035611758617,1705263035612839684,5,1081067,50,3
26,100,100,1705263035812413102,1705263035813251487,5,838385,51,3
26,100,100,1705263035812413102,1705263035813477835,5,1064733,52,3
27,100,100,1705263036013053252,1705263036013848635,5,795383,53,3
27,100,100,1705263036013053252,1705263036014124986,5,1071734,54,3
28,100,100,1705263036213644733,1705263036215567520,5,1922787,55,3
28,100,100,1705263036213644733,1705263036216132555,5,2487822,56,3
29,100,100,1705263036419048181,1705263036420359595,5,1311414,57,3
29,100,100,1705263036419048181,1705263036420674282,5,1626101,58,3
30,100,100,1705263036619837341,1705263036621072084,5,1234743,59,3
30,100,100,1705263036619837341,1705263036621350768,5,1513427,60,3
31,100,100,1705263036820602832,1705263036821762571,5,1159739,61,3
31,100,100,1705263036820602832,1705263036822091592,5,1488760,62,3
32,100,100,1705263037021393659,1705263037022238712,5,845053,63,3
32,100,100,1705263037021393659,1705263037022502395,5,1108736,64,3
33,100,100,1705263037221936137,1705263037222594512,5,658375,65,3
33,100,100,1705263037221936137,1705263037222840527,5,904390,66,3
34,100,100,1705263037422347274,1705263037422992647,5,645373,67,3
34,100,100,1705263037422347274,1705263037423397673,5,1050399,68,3
35,100,100,1705263037622716741,1705263037623457787,5,741046,69,3
35,100,100,1705263037622716741,1705263037623695802,5,979061,70,3
36,100,100,1705263037823180214,1705263037823796919,5,616705,71,3
36,100,100,1705263037823180214,1705263037824083604,5,903390,72,3
37,100,100,1705263038023566016,1705263038024200722,5,634706,73,3
37,100,100,1705263038023566016,1705263038024409735,5,843719,74,3
38,100,100,1705263038223973152,1705263038224546521,5,573369,75,3
38,100,100,1705263038223973152,1705263038224755534,5,782382,76,3
39,100,100,1705263038424333952,1705263038425130002,5,796050,77,3
39,100,100,1705263038424333952,1705263038425389685,5,1055733,78,3
40,100,100,1705263038624779758,1705263038625432465,5,652707,79,3
40,100,100,1705263038624779758,1705263038625655812,5,876054,80,3
41,100,100,1705263038825194561,1705263038825811600,5,617039,81,3
41,100,100,1705263038825194561,1705263038826095951,5,901390,82,3
42,100,100,1705263039025573362,1705263039026279073,5,705711,83,3
42,100,100,1705263039025573362,1705263039026518088,5,944726,84,3
43,100,100,1705263039226013501,1705263039226621205,5,607704,85,3
43,100,100,1705263039226013501,1705263039226841886,5,828385,86,3
44,100,100,1705263039426388302,1705263039427188685,5,800383,87,3
44,100,100,1705263039426388302,1705263039427443367,5,1055065,88,3
45,100,100,1705263039626844774,1705263039627523483,5,678709,89,3
45,100,100,1705263039626844774,1705263039627771499,5,926725,90,3
46,100,100,1705263039827262245,1705263039827864282,5,602037,91,3
46,100,100,1705263039827262245,1705263039828144966,5,882721,92,3
47,100,100,1705263040027634046,1705263040028255418,5,621372,93,3
47,100,100,1705263040027634046,1705263040028475431,5,841385,94,3
48,100,100,1705263040228030515,1705263040228635886,5,605371,95,3
48,100,100,1705263040228030515,1705263040238671177,5,10640662,96,3
49,100,100,1705263040428408649,1705263040429077691,5,669042,97,3
49,100,100,1705263040428408649,1705263040429305705,5,897056,98,3
50,100,100,1705263040628791117,1705263040629405155,5,614038,99,3
50,100,100,1705263040628791117,1705263040629622836,5,831719,100,3
51,100,100,1705263040829179252,1705263040830138645,5,959393,101,3
51,100,100,1705263040829179252,1705263040830409662,5,1230410,102,3
52,100,100,1705263041029751066,1705263041030452776,5,701710,103,3
52,100,100,1705263041029751066,1705263041030684457,5,933391,104,3
53,100,100,1705263041230199871,1705263041230827244,5,627373,105,3
53,100,100,1705263041230199871,1705263041231115262,5,915391,106,3
54,100,100,1705263041430584673,1705263041431391723,5,807050,107,3
54,100,100,1705263041430584673,1705263041431646406,5,1061733,108,3
55,100,100,1705263041631084815,1705263041631765191,5,680376,109,3
