frame number,publisher_sent,subscriber_received,latency
140002,1706468073503,1706468073504,1
140003,1706468073510,1706468073511,1
140004,1706468073517,1706468073518,1
140005,1706468073524,1706468073524,0
140006,1706468073531,1706468073531,0
140007,1706468073538,1706468073538,0
140008,1706468073545,1706468073545,0
140009,1706468073552,1706468073552,0
140010,1706468073559,1706468073559,0
140011,1706468073566,1706468073566,0
140012,1706468073573,1706468073573,0
140013,1706468073580,1706468073580,0
140014,1706468073587,1706468073587,0
140015,1706468073594,1706468073595,1
140016,1706468073601,1706468073602,1
140017,1706468073609,1706468073610,1
140018,1706468073617,1706468073617,0
140019,1706468073624,1706468073625,1
140020,1706468073632,1706468073633,1
140021,1706468073640,1706468073640,0
140022,1706468073647,1706468073648,1
140023,1706468073655,1706468073655,0
140024,1706468073663,1706468073663,0
140025,1706468073670,1706468073671,1
140026,1706468073678,1706468073678,0
140027,1706468073685,1706468073686,1
140028,1706468073693,1706468073694,1
140029,1706468073701,1706468073701,0
140030,1706468073708,1706468073709,1
140031,1706468073716,1706468073717,1
140032,1706468073724,1706468073724,0
140033,1706468073731,1706468073732,1
140034,1706468073739,1706468073740,1
140035,1706468073747,1706468073748,1
140036,1706468073755,1706468073755,0
140037,1706468073762,1706468073763,1
140038,1706468073770,1706468073771,1
140039,1706468073778,1706468073778,0
140040,1706468073785,1706468073786,1
140041,1706468073793,1706468073794,1
140042,1706468073801,1706468073801,0
140043,1706468073808,1706468073809,1
140044,1706468073816,1706468073817,1
140045,1706468073824,1706468073824,0
140046,1706468073831,1706468073832,1
140047,1706468073839,1706468073840,1
140048,1706468073847,1706468073847,0
140049,1706468073854,1706468073855,1
140050,1706468073862,1706468073863,1
140051,1706468073870,1706468073870,0
140052,1706468073877,1706468073878,1
140053,1706468073885,1706468073885,0
140054,1706468073892,1706468073893,1
140055,1706468073900,1706468073901,1
140056,1706468073908,1706468073908,0
140057,1706468073915,1706468073916,1
140058,1706468073923,1706468073924,1
140059,1706468073931,1706468073931,0
140060,1706468073938,1706468073939,1
140061,1706468073946,1706468073947,1
140062,1706468073954,1706468073954,0
140063,1706468073961,1706468073962,1
140064,1706468073969,1706468073970,1
140065,1706468073977,1706468073977,0
140066,1706468073984,1706468073985,1
140067,1706468073992,1706468073992,0
140068,1706468074000,1706468074000,0
140069,1706468074007,1706468074008,1
140070,1706468074015,1706468074016,1
140071,1706468074023,1706468074023,0
140072,1706468074030,1706468074031,1
140073,1706468074038,1706468074039,1
140074,1706468074046,1706468074046,0
140075,1706468074053,1706468074054,1
140076,1706468074061,1706468074062,1
140077,1706468074069,1706468074069,0
140078,1706468074076,1706468074077,1
140079,1706468074084,1706468074084,0
140080,1706468074092,1706468074092,0
140081,1706468074099,1706468074100,1
140082,1706468074107,1706468074107,0
140083,1706468074115,1706468074115,0
140084,1706468074122,1706468074123,1
140085,1706468074130,1706468074130,0
140086,1706468074137,1706468074138,1
140087,1706468074145,1706468074146,1
140088,1706468074153,1706468074153,0
140089,1706468074160,1706468074161,1
140090,1706468074168,1706468074168,0
140091,1706468074176,1706468074176,0
140092,1706468074183,1706468074184,1
140093,1706468074191,1706468074191,0
140094,1706468074198,1706468074199,1
140095,1706468074206,1706468074207,1
140096,1706468074214,1706468074214,0
140097,1706468074221,1706468074222,1
140098,1706468074229,1706468074229,0
140099,1706468074237,1706468074237,0
140100,1706468074244,1706468074245,1
140101,1706468074252,1706468074252,0
140102,1706468074260,1706468074260,0
140103,1706468074267,1706468074268,1
140104,1706468074275,1706468074276,1
140105,1706468074283,1706468074283,0
140106,1706468074290,1706468074291,1
140107,1706468074298,1706468074299,1
140108,1706468074306,1706468074306,0
140109,1706468074313,1706468074314,1
140110,1706468074321,1706468074322,1
140111,1706468074329,1706468074329,0
140112,1706468074336,1706468074337,1
140113,1706468074344,1706468074345,1
140114,1706468074352,1706468074352,0
140115,1706468074359,1706468074360,1
140116,1706468074367,1706468074368,1
140117,1706468074375,1706468074375,0
140118,1706468074382,1706468074383,1
140119,1706468074390,1706468074390,0
140120,1706468074398,1706468074398,0
140121,1706468074406,1706468074406,0
140122,1706468074414,1706468074414,0
140123,1706468074422,1706468074422,0
140124,1706468074429,1706468074430,1
140125,1706468074437,1706468074438,1
140126,1706468074445,1706468074445,0
140127,1706468074452,1706468074453,1
140128,1706468074460,1706468074461,1
140129,1706468074468,1706468074468,0
140130,1706468074475,1706468074476,1
140131,1706468074483,1706468074484,1
140132,1706468074491,1706468074491,0
140133,1706468074498,1706468074499,1
140134,1706468074506,1706468074507,1
140135,1706468074514,1706468074514,0
140136,1706468074521,1706468074522,1
140137,1706468074529,1706468074530,1
140138,1706468074537,1706468074537,0
140139,1706468074544,1706468074545,1
140140,1706468074552,1706468074552,0
140141,1706468074560,1706468074560,0
140142,1706468074567,1706468074568,1
140143,1706468074575,1706468074575,0
140144,1706468074582,1706468074583,1
140145,1706468074590,1706468074591,1
140146,1706468074598,1706468074598,0
140147,1706468074606,1706468074606,0
140148,1706468074613,1706468074614,1
140149,1706468074621,1706468074621,0
140150,1706468074628,1706468074629,1
140151,1706468074636,1706468074637,1
140152,1706468074644,1706468074644,0
140153,1706468074651,1706468074652,1
140154,1706468074659,1706468074660,1
140155,1706468074667,1706468074667,0
140156,1706468074674,1706468074675,1
140157,1706468074682,1706468074683,1
140158,1706468074690,1706468074690,0
140159,1706468074697,1706468074698,1
140160,1706468074705,1706468074705,0
140161,1706468074712,1706468074713,1
140162,1706468074720,1706468074721,1
140163,1706468074728,1706468074728,0
140164,1706468074735,1706468074736,1
140165,1706468074743,1706468074744,1
140166,1706468074751,1706468074751,0
140167,1706468074758,1706468074759,1
140168,1706468074766,1706468074766,0
140169,1706468074774,1706468074774,0
140170,1706468074781,1706468074782,1
140171,1706468074789,1706468074789,0
140172,1706468074796,1706468074797,1
140173,1706468074804,1706468074805,1
140174,1706468074812,1706468074812,0
140175,1706468074819,1706468074820,1
140176,1706468074827,1706468074827,0
140177,1706468074835,1706468074835,0
140178,1706468074842,1706468074843,1
140179,1706468074850,1706468074851,1
140180,1706468074858,1706468074858,0
140181,1706468074865,1706468074866,1
140182,1706468074873,1706468074873,0
140183,1706468074880,1706468074881,1
140184,1706468074888,1706468074889,1
140185,1706468074896,1706468074896,0
140186,1706468074903,1706468074904,1
140187,1706468074911,1706468074911,0
140188,1706468074919,1706468074919,0
140189,1706468074926,1706468074927,1
140190,1706468074934,1706468074934,0
140191,1706468074941,1706468074942,1
140192,1706468074949,1706468074949,0
140193,1706468074957,1706468074957,0
140194,1706468074964,1706468074965,1
140195,1706468074972,1706468074973,1
140196,1706468074980,1706468074980,0
140197,1706468074987,1706468074988,1
140198,1706468074995,1706468074996,1
140199,1706468075003,1706468075003,0
140200,1706468075010,1706468075011,1
140201,1706468075018,1706468075019,1
140202,1706468075026,1706468075026,0
140203,1706468075033,1706468075034,1
140204,1706468075041,1706468075041,0
140205,1706468075049,1706468075049,0
140206,1706468075056,1706468075057,1
140207,1706468075064,1706468075064,0
