frame number,publisher_sent,subscriber_received,latency
180002,1706472744189,1706472744190,1
180003,1706472744196,1706472744196,0
180004,1706472744202,1706472744202,0
180005,1706472744208,1706472744209,1
180006,1706472744216,1706472744217,1
180007,1706472744223,1706472744224,1
180008,1706472744230,1706472744231,1
180009,1706472744237,1706472744237,0
180010,1706472744243,1706472744243,0
180011,1706472744249,1706472744249,0
180012,1706472744255,1706472744255,0
180013,1706472744261,1706472744261,0
180014,1706472744267,1706472744267,0
180015,1706472744273,1706472744273,0
180016,1706472744279,1706472744279,0
180017,1706472744285,1706472744285,0
180018,1706472744291,1706472744291,0
180019,1706472744297,1706472744297,0
180020,1706472744303,1706472744303,0
180021,1706472744309,1706472744309,0
180022,1706472744315,1706472744315,0
180023,1706472744321,1706472744321,0
180024,1706472744327,1706472744327,0
180025,1706472744332,1706472744333,1
180026,1706472744338,1706472744339,1
180027,1706472744344,1706472744345,1
180028,1706472744350,1706472744350,0
180029,1706472744356,1706472744356,0
180030,1706472744362,1706472744362,0
180031,1706472744368,1706472744368,0
180032,1706472744374,1706472744374,0
180033,1706472744380,1706472744381,1
180034,1706472744387,1706472744387,0
180035,1706472744393,1706472744394,1
180036,1706472744400,1706472744400,0
180037,1706472744406,1706472744407,1
180038,1706472744413,1706472744413,0
180039,1706472744419,1706472744420,1
180040,1706472744426,1706472744426,0
180041,1706472744432,1706472744433,1
180042,1706472744439,1706472744440,1
180043,1706472744445,1706472744446,1
180044,1706472744451,1706472744452,1
180045,1706472744457,1706472744458,1
180046,1706472744463,1706472744463,0
180047,1706472744468,1706472744469,1
180048,1706472744474,1706472744475,1
180049,1706472744480,1706472744481,1
180050,1706472744486,1706472744486,0
180051,1706472744492,1706472744492,0
180052,1706472744497,1706472744498,1
180053,1706472744503,1706472744504,1
180054,1706472744509,1706472744509,0
180055,1706472744515,1706472744515,0
180056,1706472744520,1706472744521,1
180057,1706472744526,1706472744527,1
180058,1706472744532,1706472744532,0
180059,1706472744538,1706472744538,0
180060,1706472744543,1706472744544,1
180061,1706472744549,1706472744550,1
180062,1706472744555,1706472744556,1
180063,1706472744561,1706472744561,0
180064,1706472744567,1706472744567,0
180065,1706472744572,1706472744573,1
180066,1706472744578,1706472744579,1
180067,1706472744584,1706472744585,1
180068,1706472744590,1706472744590,0
180069,1706472744596,1706472744596,0
180070,1706472744601,1706472744602,1
180071,1706472744607,1706472744608,1
180072,1706472744613,1706472744614,1
180073,1706472744619,1706472744619,0
180074,1706472744624,1706472744625,1
180075,1706472744630,1706472744631,1
180076,1706472744636,1706472744637,1
180077,1706472744642,1706472744642,0
180078,1706472744648,1706472744648,0
180079,1706472744653,1706472744654,1
180080,1706472744659,1706472744660,1
180081,1706472744665,1706472744665,0
180082,1706472744671,1706472744671,0
180083,1706472744676,1706472744677,1
180084,1706472744682,1706472744683,1
180085,1706472744688,1706472744689,1
180086,1706472744694,1706472744694,0
180087,1706472744700,1706472744700,0
180088,1706472744705,1706472744706,1
180089,1706472744711,1706472744712,1
180090,1706472744717,1706472744718,1
180091,1706472744723,1706472744723,0
180092,1706472744729,1706472744729,0
180093,1706472744734,1706472744735,1
180094,1706472744740,1706472744741,1
180095,1706472744746,1706472744746,0
180096,1706472744752,1706472744752,0
180097,1706472744757,1706472744758,1
180098,1706472744763,1706472744764,1
180099,1706472744769,1706472744770,1
180100,1706472744775,1706472744775,0
180101,1706472744780,1706472744781,1
180102,1706472744786,1706472744787,1
180103,1706472744792,1706472744793,1
180104,1706472744798,1706472744798,0
180105,1706472744804,1706472744804,0
180106,1706472744809,1706472744810,1
180107,1706472744815,1706472744816,1
180108,1706472744821,1706472744822,1
180109,1706472744827,1706472744827,0
180110,1706472744833,1706472744833,0
180111,1706472744838,1706472744839,1
180112,1706472744844,1706472744845,1
180113,1706472744850,1706472744850,0
180114,1706472744856,1706472744856,0
180115,1706472744861,1706472744862,1
180116,1706472744867,1706472744868,1
180117,1706472744873,1706472744873,0
180118,1706472744879,1706472744879,0
180119,1706472744884,1706472744885,1
180120,1706472744890,1706472744891,1
180121,1706472744896,1706472744896,0
180122,1706472744902,1706472744902,0
180123,1706472744907,1706472744908,1
180124,1706472744913,1706472744914,1
180125,1706472744919,1706472744920,1
180126,1706472744925,1706472744925,0
180127,1706472744931,1706472744931,0
180128,1706472744936,1706472744937,1
180129,1706472744942,1706472744943,1
180130,1706472744948,1706472744949,1
180131,1706472744954,1706472744954,0
180132,1706472744959,1706472744960,1
180133,1706472744965,1706472744966,1
180134,1706472744971,1706472744971,0
180135,1706472744977,1706472744977,0
180136,1706472744982,1706472744983,1
180137,1706472744988,1706472744989,1
180138,1706472744994,1706472744994,0
