frame number,publisher_sent,subscriber_received,latency
150090,1706485486311,1706485486314,3
150091,1706485486318,1706485486320,2
150092,1706485486324,1706485486326,2
150093,1706485486331,1706485486334,3
150094,1706485486338,1706485486340,2
150095,1706485486344,1706485486346,2
150096,1706485486351,1706485486354,3
150097,1706485486358,1706485486359,1
150098,1706485486364,1706485486366,2
150099,1706485486371,1706485486372,1
150100,1706485486378,1706485486380,2
150101,1706485486384,1706485486387,3
150102,1706485486391,1706485486392,1
150103,1706485486398,1706485486400,2
150104,1706485486404,1706485486406,2
150105,1706485486411,1706485486413,2
150106,1706485486417,1706485486419,2
150107,1706485486424,1706485486426,2
150108,1706485486431,1706485486431,0
150109,1706485486437,1706485486438,1
150110,1706485486444,1706485486446,2
150111,1706485486450,1706485486452,2
150112,1706485486457,1706485486458,1
150113,1706485486464,1706485486465,1
150114,1706485486470,1706485486471,1
150115,1706485486477,1706485486479,2
150116,1706485486483,1706485486484,1
150117,1706485486490,1706485486491,1
150118,1706485486497,1706485486499,2
150119,1706485486503,1706485486504,1
150120,1706485486510,1706485486511,1
150121,1706485486516,1706485486518,2
150122,1706485486523,1706485486525,2
150123,1706485486529,1706485486532,3
150124,1706485486536,1706485486538,2
150125,1706485486542,1706485486545,3
150126,1706485486549,1706485486550,1
150127,1706485486556,1706485486557,1
150128,1706485486562,1706485486564,2
150129,1706485486568,1706485486569,1
150130,1706485486575,1706485486577,2
150131,1706485486582,1706485486583,1
150132,1706485486588,1706485486590,2
150133,1706485486595,1706485486596,1
150134,1706485486601,1706485486602,1
150135,1706485486608,1706485486609,1
150136,1706485486615,1706485486615,0
150137,1706485486621,1706485486623,2
150138,1706485486628,1706485486630,2
150139,1706485486634,1706485486635,1
150140,1706485486641,1706485486641,0
150141,1706485486647,1706485486649,2
150142,1706485486654,1706485486655,1
150143,1706485486660,1706485486662,2
150144,1706485486667,1706485486668,1
150145,1706485486673,1706485486676,3
150146,1706485486680,1706485486683,3
150147,1706485486687,1706485486688,1
150148,1706485486693,1706485486695,2
150149,1706485486700,1706485486702,2
150150,1706485486706,1706485486708,2
150151,1706485486713,1706485486715,2
150152,1706485486720,1706485486721,1
150153,1706485486726,1706485486728,2
150154,1706485486733,1706485486733,0
150155,1706485486739,1706485486741,2
150156,1706485486746,1706485486747,1
150157,1706485486752,1706485486754,2
150158,1706485486759,1706485486760,1
150159,1706485486765,1706485486767,2
150160,1706485486772,1706485486773,1
150161,1706485486778,1706485486780,2
150162,1706485486785,1706485486787,2
150163,1706485486792,1706485486792,0
150164,1706485486798,1706485486799,1
150165,1706485486805,1706485486806,1
150166,1706485486811,1706485486813,2
150167,1706485486818,1706485486820,2
150168,1706485486824,1706485486825,1
150169,1706485486831,1706485486832,1
150170,1706485486837,1706485486840,3
150171,1706485486844,1706485486847,3
150172,1706485486851,1706485486852,1
150173,1706485486857,1706485486858,1
150174,1706485486864,1706485486866,2
150175,1706485486870,1706485486872,2
150176,1706485486877,1706485486878,1
150177,1706485486884,1706485486886,2
150178,1706485486890,1706485486891,1
150179,1706485486897,1706485486899,2
150180,1706485486903,1706485486905,2
150181,1706485486910,1706485486911,1
150182,1706485486916,1706485486919,3
150183,1706485486923,1706485486926,3
150184,1706485486929,1706485486932,3
150185,1706485486936,1706485486937,1
150186,1706485486942,1706485486944,2
150187,1706485486949,1706485486951,2
150188,1706485486956,1706485486957,1
150189,1706485486962,1706485486963,1
150190,1706485486969,1706485486970,1
150191,1706485486975,1706485486978,3
150192,1706485486982,1706485486983,1
150193,1706485486988,1706485486990,2
150194,1706485486995,1706485486997,2
150195,1706485487002,1706485487003,1
150196,1706485487008,1706485487009,1
150197,1706485487015,1706485487017,2
150198,1706485487021,1706485487023,2
150199,1706485487028,1706485487030,2
150200,1706485487034,1706485487036,2
150201,1706485487041,1706485487042,1
150202,1706485487048,1706485487049,1
150203,1706485487054,1706485487056,2
150204,1706485487061,1706485487062,1
150205,1706485487067,1706485487068,1
150206,1706485487074,1706485487075,1
150207,1706485487080,1706485487082,2
150208,1706485487087,1706485487089,2
150209,1706485487093,1706485487095,2
150210,1706485487100,1706485487102,2
150211,1706485487106,1706485487108,2
150212,1706485487113,1706485487115,2
150213,1706485487120,1706485487121,1
150214,1706485487126,1706485487128,2
150215,1706485487133,1706485487134,1
150216,1706485487139,1706485487140,1
150217,1706485487146,1706485487147,1
150218,1706485487152,1706485487153,1
150219,1706485487159,1706485487161,2
150220,1706485487165,1706485487167,2
150221,1706485487172,1706485487173,1
150222,1706485487179,1706485487179,0
150223,1706485487185,1706485487186,1
150224,1706485487192,1706485487193,1
150225,1706485487198,1706485487200,2
150226,1706485487205,1706485487207,2
150227,1706485487211,1706485487213,2
150228,1706485487218,1706485487218,0
150229,1706485487224,1706485487226,2
150230,1706485487231,1706485487232,1
150231,1706485487237,1706485487239,2
150232,1706485487244,1706485487245,1
150233,1706485487250,1706485487253,3
150234,1706485487257,1706485487263,6
150235,1706485487263,1706485487269,6
150236,1706485487270,1706485487276,6
150237,1706485487277,1706485487280,3
150238,1706485487284,1706485487286,2
150239,1706485487290,1706485487292,2
150240,1706485487297,1706485487298,1
150241,1706485487303,1706485487304,1
150242,1706485487310,1706485487310,0
150243,1706485487317,1706485487318,1
150244,1706485487323,1706485487324,1
150245,1706485487330,1706485487330,0
150246,1706485487336,1706485487337,1
150247,1706485487343,1706485487343,0
150248,1706485487350,1706485487350,0
150249,1706485487356,1706485487357,1
150250,1706485487363,1706485487363,0
150251,1706485487369,1706485487370,1
150252,1706485487376,1706485487376,0
150253,1706485487382,1706485487383,1
150254,1706485487389,1706485487390,1
150255,1706485487396,1706485487396,0
150256,1706485487402,1706485487403,1
150257,1706485487409,1706485487410,1
150258,1706485487415,1706485487416,1
150259,1706485487422,1706485487423,1
150260,1706485487428,1706485487429,1
150261,1706485487435,1706485487436,1
150262,1706485487442,1706485487442,0
150263,1706485487448,1706485487449,1
150264,1706485487455,1706485487455,0
150265,1706485487462,1706485487462,0
150266,1706485487468,1706485487469,1
150267,1706485487475,1706485487475,0
150268,1706485487482,1706485487482,0
150269,1706485487488,1706485487489,1
150270,1706485487495,1706485487496,1
150271,1706485487502,1706485487502,0
150272,1706485487508,1706485487509,1
150273,1706485487515,1706485487515,0
150274,1706485487521,1706485487522,1
150275,1706485487528,1706485487529,1
150276,1706485487535,1706485487535,0
150277,1706485487541,1706485487542,1
150278,1706485487548,1706485487548,0
150279,1706485487554,1706485487555,1
150280,1706485487561,1706485487562,1
150281,1706485487567,1706485487568,1
150282,1706485487574,1706485487575,1
150283,1706485487581,1706485487581,0
150284,1706485487587,1706485487588,1
150285,1706485487594,1706485487594,0
150286,1706485487600,1706485487601,1
150287,1706485487607,1706485487607,0
150288,1706485487614,1706485487614,0
150289,1706485487620,1706485487621,1
150290,1706485487627,1706485487627,0
150291,1706485487634,1706485487634,0
150292,1706485487640,1706485487641,1
150293,1706485487647,1706485487648,1
150294,1706485487653,1706485487654,1
150295,1706485487660,1706485487660,0
150296,1706485487666,1706485487667,1
150297,1706485487673,1706485487673,0
150298,1706485487680,1706485487681,1
