frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
1,10,10,1705849204153961298,1705849204651884643,5,497923345,1,1
1,10,10,1705849204153961298,1705849204652217330,5,498256032,2,1
2,10,10,1705849204354112561,1705849204652384006,5,298271445,3,1
2,10,10,1705849204354112561,1705849204652520681,5,298408120,4,1
3,10,10,1705849204554191153,1705849204755149465,5,200958312,5,1
3,10,10,1705849204554191153,1705849204755400147,5,201208994,6,1
4,10,10,1705849204754481092,1705849204955453738,5,200972646,7,1
4,10,10,1705849204754481092,1705849204955684751,5,201203659,8,1
5,10,10,1705849204954853702,1705849205155491994,5,200638292,9,1
5,10,10,1705849204954853702,1705849205155710674,5,200856972,10,1
6,10,10,1705849205155136640,1705849205355852604,5,200715964,11,1
6,10,10,1705849205155136640,1705849205356105285,5,200968645,12,1
7,10,10,1705849205355346240,1705849205556434893,5,201088653,13,1
7,10,10,1705849205355346240,1705849205556650239,5,201303999,14,1
8,10,10,1705849205555754185,1705849205756743832,5,200989647,15,1
8,10,10,1705849205555754185,1705849205756953178,5,201198993,16,1
9,10,10,1705849205756221134,1705849205957096774,5,200875640,17,1
9,10,10,1705849205756221134,1705849205957320454,5,201099320,18,1
10,10,10,1705849205956610079,1705849206157458050,5,200847971,19,1
10,10,10,1705849205956610079,1705849206157665729,5,201055650,20,1
11,10,10,1705849206156937353,1705849206360698831,5,203761478,21,1
11,10,10,1705849206156937353,1705849206360937845,5,204000492,22,1
12,10,10,1705849206357246292,1705849206557783579,5,200537287,23,1
12,10,10,1705849206357246292,1705849206558073262,5,200826970,24,1
13,10,10,1705849206557411556,1705849206758177190,5,200765634,25,1
13,10,10,1705849206557411556,1705849206758408537,5,200996981,26,1
14,10,10,1705849206757635824,1705849206958507131,5,200871307,27,1
14,10,10,1705849206757635824,1705849206958734477,5,201098653,28,1
15,10,10,1705849206958085772,1705849207158715064,5,200629292,29,1
15,10,10,1705849206958085772,1705849207158931744,5,200845972,30,1
16,10,10,1705849207158349042,1705849207359187347,5,200838305,31,1
16,10,10,1705849207158349042,1705849207359400026,5,201050984,32,1
17,10,10,1705849207358605979,1705849207559496953,5,200890974,33,1
17,10,10,1705849207358605979,1705849207559765969,5,201159990,34,1
18,10,10,1705849207559098929,1705849207759849562,5,200750633,35,1
18,10,10,1705849207559098929,1705849207760128245,5,201029316,36,1
19,10,10,1705849207759376200,1705849207960104498,5,200728298,37,1
19,10,10,1705849207759376200,1705849207960329845,5,200953645,38,1
20,10,10,1705849207959635470,1705849208160424771,5,200789301,39,1
20,10,10,1705849207959635470,1705849208160643118,5,201007648,40,1
21,10,10,1705849208159890406,1705849208361345081,5,201454675,41,1
21,10,10,1705849208159890406,1705849208361557093,5,201666687,42,1
22,10,10,1705849208360270683,1705849208561652353,5,201381670,43,1
22,10,10,1705849208360270683,1705849208561883701,5,201613018,44,1
23,10,10,1705849208561182325,1705849208762107302,5,200924977,45,1
23,10,10,1705849208561182325,1705849208762347983,5,201165658,46,1
24,10,10,1705849208761479598,1705849208962330569,5,200850971,47,1
24,10,10,1705849208761479598,1705849208962584251,5,201104653,48,1
25,10,10,1705849208961773536,1705849209162664177,5,200890641,49,1
25,10,10,1705849208961773536,1705849209162888190,5,201114654,50,1
26,10,10,1705849209162205483,1705849209363127459,5,200921976,51,1
26,10,10,1705849209162205483,1705849209363358140,5,201152657,52,1
27,10,10,1705849209362533424,1705849209563658412,5,201124988,53,1
27,10,10,1705849209362533424,1705849209563940762,5,201407338,54,1
28,10,10,1705849209562960370,1705849209764147029,5,201186659,55,1
28,10,10,1705849209562960370,1705849209764379043,5,201418673,56,1
29,10,10,1705849209763471989,1705849209964515972,5,201043983,57,1
29,10,10,1705849209763471989,1705849209964745319,5,201273330,58,1
30,10,10,1705849209964016942,1705849210165023257,5,201006315,59,1
30,10,10,1705849209964016942,1705849210165245270,5,201228328,60,1
31,10,10,1705849210164388219,1705849210365655215,5,201266996,61,1
31,10,10,1705849210164388219,1705849210365947233,5,201559014,62,1
32,10,10,1705849210364876836,1705849210565804479,5,200927643,63,1
32,10,10,1705849210364876836,1705849210566100830,5,201223994,64,1
33,10,10,1705849210565302449,1705849210767662177,5,202359728,65,1
33,10,10,1705849210565302449,1705849210767905192,5,202602743,66,1
34,10,10,1705849210765636723,1705849210967772438,5,202135715,67,1
34,10,10,1705849210765636723,1705849210968033787,5,202397064,68,1
35,10,10,1705849210965964330,1705849211167095652,5,201131322,69,1
35,10,10,1705849210965964330,1705849211167315665,5,201351335,70,1
36,10,10,1705849211166470282,1705849211367699943,5,201229661,71,1
36,10,10,1705849211166470282,1705849211367922956,5,201452674,72,1
37,10,10,1705849211366875894,1705849211568064886,5,201188992,73,1
37,10,10,1705849211366875894,1705849211568281565,5,201405671,74,1
38,10,10,1705849211567552522,1705849211773122775,5,205570253,75,1
38,10,10,1705849211567552522,1705849211776678987,5,209126465,76,1
39,10,10,1705849211767875462,1705849211973363044,5,205487582,77,1
39,10,10,1705849211767875462,1705849211973589391,5,205713929,78,1
40,10,10,1705849211972949019,1705849212173824992,5,200875973,79,1
40,10,10,1705849211972949019,1705849212174095675,5,201146656,80,1
41,10,10,1705849212173246291,1705849212374267607,5,201021316,81,1
41,10,10,1705849212173246291,1705849212374491953,5,201245662,82,1
42,10,10,1705849212373647570,1705849212574709221,5,201061651,83,1
42,10,10,1705849212373647570,1705849212574951902,5,201304332,84,1
43,10,10,1705849212574157521,1705849212775205838,5,201048317,85,1
43,10,10,1705849212574157521,1705849212775442185,5,201284664,86,1
44,10,10,1705849212774615470,1705849212975572114,5,200956644,87,1
44,10,10,1705849212774615470,1705849212975779793,5,201164323,88,1
45,10,10,1705849212975087085,1705849213175841385,5,200754300,89,1
45,10,10,1705849212975087085,1705849213176102734,5,201015649,90,1
46,10,10,1705849213175436694,1705849213376557015,5,201120321,91,1
46,10,10,1705849213175436694,1705849213376769361,5,201332667,92,1
47,10,10,1705849213375769635,1705849213579351103,5,203581468,93,1
47,10,10,1705849213375769635,1705849213579585784,5,203816149,94,1
48,10,10,1705849213576480932,1705849213777250566,5,200769634,95,1
48,10,10,1705849213576480932,1705849213777473245,5,200992313,96,1
49,10,10,1705849213776729201,1705849213978145540,5,201416339,97,1
49,10,10,1705849213776729201,1705849213987805449,5,211076248,98,1
50,10,10,1705849213977086144,1705849214178622490,5,201536346,99,1
50,10,10,1705849213977086144,1705849214178840836,5,201754692,100,1
51,10,10,1705849214178036121,1705849214379179444,5,201143323,101,1
51,10,10,1705849214178036121,1705849214379392123,5,201356002,102,1
52,10,10,1705849214378509071,1705849214579532053,5,201022982,103,1
52,10,10,1705849214378509071,1705849214579806069,5,201296998,104,1
53,10,10,1705849214579058691,1705849214779669649,5,200610958,105,1
53,10,10,1705849214579058691,1705849214779883328,5,200824637,106,1
54,10,10,1705849214779241290,1705849214980031591,5,200790301,107,1
54,10,10,1705849214779241290,1705849214980266939,5,201025649,108,1
55,10,10,1705849214979516894,1705849215196379820,5,216862926,109,1
55,10,10,1705849214979516894,1705849215196608834,5,217091940,110,1
56,10,10,1705849215194061349,1705849215397354133,5,203292784,111,1
56,10,10,1705849215194061349,1705849215397645484,5,203584135,112,1
57,10,10,1705849215396234733,1705849215597356387,5,201121654,113,1
57,10,10,1705849215396234733,1705849215597572400,5,201337667,114,1
58,10,10,1705849215596686014,1705849215798076352,5,201390338,115,1
58,10,10,1705849215596686014,1705849215798294031,5,201608017,116,1
59,10,10,1705849215797202633,1705849215999189672,5,201987039,117,1
59,10,10,1705849215797202633,1705849215999398351,5,202195718,118,1
60,10,10,1705849215998490964,1705849216199496612,5,201005648,119,1
60,10,10,1705849215998490964,1705849216199690290,5,201199326,120,1
61,10,10,1705849216198770235,1705849216399504533,5,200734298,121,1
61,10,10,1705849216198770235,1705849216399899557,5,201129322,122,1
62,10,10,1705849216398925499,1705849216599709467,5,200783968,123,1
62,10,10,1705849216398925499,1705849216600014152,5,201088653,124,1
63,10,10,1705849216599129099,1705849216799873731,5,200744632,125,1
63,10,10,1705849216599129099,1705849216800113412,5,200984313,126,1
64,10,10,1705849216799309364,1705849217000225006,5,200915642,127,1
64,10,10,1705849216799309364,1705849217000443686,5,201134322,128,1
65,10,10,1705849216999757979,1705849217200591283,5,200833304,129,1
65,10,10,1705849216999757979,1705849217200871633,5,201113654,130,1
66,10,10,1705849217200076585,1705849217401118235,5,201041650,131,1
66,10,10,1705849217200076585,1705849217401312247,5,201235662,132,1
67,10,10,1705849217400475864,1705849217601402507,5,200926643,133,1
67,10,10,1705849217400475864,1705849217601604185,5,201128321,134,1
68,10,10,1705849217601013817,1705849217801649443,5,200635626,135,1
68,10,10,1705849217601013817,1705849217801836454,5,200822637,136,1
69,10,10,1705849217801285088,1705849218002148727,5,200863639,137,1
69,10,10,1705849217801285088,1705849218002403409,5,201118321,138,1
70,10,10,1705849218001550358,1705849218202528337,5,200977979,139,1
70,10,10,1705849218001550358,1705849218202765351,5,201214993,140,1
71,10,10,1705849218201947303,1705849218402823609,5,200876306,141,1
71,10,10,1705849218201947303,1705849218403077624,5,201130321,142,1
72,10,10,1705849218402397584,1705849218603224554,5,200826970,143,1
72,10,10,1705849218402397584,1705849218603430233,5,201032649,144,1
73,10,10,1705849218602715191,1705849218803485491,5,200770300,145,1
73,10,10,1705849218602715191,1705849218803685170,5,200969979,146,1
74,10,10,1705849218803115469,1705849219004055446,5,200939977,147,1
74,10,10,1705849218803115469,1705849219004312128,5,201196659,148,1
75,10,10,1705849219003382406,1705849219204220377,5,200837971,149,1
75,10,10,1705849219003382406,1705849219204446391,5,201063985,150,1
76,10,10,1705849219203803019,1705849219404610988,5,200807969,151,1
76,10,10,1705849219203803019,1705849219404796666,5,200993647,152,1
77,10,10,1705849219404111625,1705849219604894593,5,200782968,153,1
77,10,10,1705849219404111625,1705849219605133941,5,201022316,154,1
78,10,10,1705849219604508903,1705849219805283871,5,200774968,155,1
78,10,10,1705849219604508903,1705849219805511218,5,201002315,156,1
79,10,10,1705849219804777507,1705849220005644147,5,200866640,157,1
79,10,10,1705849219804777507,1705849220005859493,5,201081986,158,1
80,10,10,1705849220005149450,1705849220205869081,5,200719631,159,1
