frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
1,10,10,1705262080816056818,1705262080816699525,5,642707,1,2
1,10,10,1705262080816056818,1705262080816991209,5,934391,2,2
2,10,10,1705262081016339220,1705262081016656906,5,317686,3,2
2,10,10,1705262081016339220,1705262081016848585,5,509365,4,2
3,10,10,1705262081216535616,1705262081216887638,5,352022,5,2
3,10,10,1705262081216535616,1705262081217126986,5,591370,6,2
4,10,10,1705262081416758681,1705262081417104369,5,345688,7,2
4,10,10,1705262081416758681,1705262081417283380,5,524699,8,2
5,10,10,1705262081616988413,1705262081617327100,5,338687,9,2
5,10,10,1705262081616988413,1705262081617535113,5,546700,10,2
6,10,10,1705262081817188809,1705262081817778846,5,590037,11,2
6,10,10,1705262081817188809,1705262081818069197,5,880388,12,2
7,10,10,1705262082017584218,1705262082017974909,5,390691,13,2
7,10,10,1705262082017584218,1705262082018134252,5,550034,14,2
8,10,10,1705262082217820617,1705262082218124969,5,304352,15,2
8,10,10,1705262082217820617,1705262082218276312,5,455695,16,2
9,10,10,1705262082418027348,1705262082418296364,5,269016,17,2
9,10,10,1705262082418027348,1705262082418455041,5,427693,18,2
10,10,10,1705262082618208077,1705262082618638770,5,430693,19,2
10,10,10,1705262082618208077,1705262082618832449,5,624372,20,2
11,10,10,1705262082818486478,1705262082818833166,5,346688,21,2
11,10,10,1705262082818486478,1705262082819045513,5,559035,22,2
12,10,10,1705262083018727878,1705262083019037897,5,310019,23,2
12,10,10,1705262083018727878,1705262083019196907,5,469029,24,2
13,10,10,1705262083218923941,1705262083219188957,5,265016,25,2
13,10,10,1705262083218923941,1705262083219340300,5,416359,26,2
14,10,10,1705262083419092002,1705262083419394021,5,302019,27,2
14,10,10,1705262083419092002,1705262083419548697,5,456695,28,2
15,10,10,1705262083619291399,1705262083619751761,5,460362,29,2
15,10,10,1705262083619291399,1705262083619988109,5,696710,30,2
16,10,10,1705262083820204507,1705262083820549195,5,344688,31,2
16,10,10,1705262083820204507,1705262083820699538,5,495031,32,2
17,10,10,1705262084020863266,1705262084021210954,5,347688,33,2
17,10,10,1705262084020863266,1705262084021368630,5,505364,34,2
18,10,10,1705262084221526691,1705262084221862712,5,336021,35,2
18,10,10,1705262084221526691,1705262084222094726,5,568035,36,2
19,10,10,1705262084421733755,1705262084422021773,5,288018,37,2
19,10,10,1705262084421733755,1705262084422179783,5,446028,38,2
20,10,10,1705262084621936819,1705262084622373846,5,437027,39,2
20,10,10,1705262084621936819,1705262084622563525,5,626706,40,2
