frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
1,480,360,1704676965761691462,1704676965790843571,5,29152109,1,2
1,480,360,1704676965761691462,1704676965792975700,5,31284238,2,2
2,480,360,1704676965970343170,1704676965982274563,5,11931393,3,2
2,480,360,1704676965970343170,1704676965984465697,5,14122527,4,2
3,480,360,1704676966179127220,1704676966191272293,5,12145073,5,2
3,480,360,1704676966179127220,1704676966193517763,5,14390543,6,2
4,480,360,1704676966388146618,1704676966400078678,5,11932060,7,2
4,480,360,1704676966388146618,1704676966402071133,5,13924515,8,2
5,480,360,1704676966596942002,1704676966608705052,5,11763050,9,2
5,480,360,1704676966596942002,1704676966610701507,5,13759505,10,2
6,480,360,1704676966805537707,1704676966817612110,5,12074403,11,2
6,480,360,1704676966805537707,1704676966819595897,5,14058190,12,2
7,480,360,1704676967014407763,1704676967026329156,5,11921393,13,2
7,480,360,1704676967014407763,1704676967028323610,5,13915847,14,2
8,480,360,1704676967223188147,1704676967235762913,5,12574766,15,2
8,480,360,1704676967223188147,1704676967237823371,5,14635224,16,2
9,480,360,1704676967432628237,1704676967459723554,5,27095317,17,2
9,480,360,1704676967432628237,1704676967461544332,5,28916095,18,2
10,480,360,1704676967640733580,1704676967652589302,5,11855722,19,2
10,480,360,1704676967640733580,1704676967654570756,5,13837176,20,2
11,480,360,1704676967849465627,1704676967861479359,5,12013732,21,2
11,480,360,1704676967849465627,1704676967863461813,5,13996186,22,2
12,480,360,1704676968058300681,1704676968070193406,5,11892725,23,2
12,480,360,1704676968058300681,1704676968072215862,5,13915181,24,2
13,480,360,1704676968267033730,1704676968279056462,5,12022732,25,2
13,480,360,1704676968267033730,1704676968281042583,5,14008853,26,2
14,480,360,1704676968475845782,1704676968487854847,5,12009065,27,2
14,480,360,1704676968475845782,1704676968489881971,5,14036189,28,2
15,480,360,1704676968684698171,1704676968696624898,5,11926727,29,2
15,480,360,1704676968684698171,1704676968698610685,5,13912514,30,2
16,480,360,1704676968893501557,1704676968926678911,5,33177354,31,2
16,480,360,1704676968893501557,1704676968928340012,5,34838455,32,2
17,480,360,1704676969101932587,1704676969114247670,5,12315083,33,2
17,480,360,1704676969101932587,1704676969116219124,5,14286537,34,2
18,480,360,1704676969311037658,1704676969323541753,5,12504095,35,2
18,480,360,1704676969311037658,1704676969325819225,5,14781567,36,2
19,480,360,1704676969520203066,1704676969532459813,5,12256747,37,2
19,480,360,1704676969520203066,1704676969534807956,5,14604890,38,2
20,480,360,1704676969729190464,1704676969776753361,5,47562897,39,2
20,480,360,1704676969729190464,1704676969778462799,5,49272335,40,2
21,480,360,1704676969936927118,1704676969948872179,5,11945061,41,2
21,480,360,1704676969936927118,1704676969950775629,5,13848511,42,2
22,480,360,1704676970145875514,1704676970157710235,5,11834721,43,2
22,480,360,1704676970145875514,1704676970159859366,5,13983852,44,2
23,480,360,1704676970354695568,1704676970366561291,5,11865723,45,2
23,480,360,1704676970354695568,1704676970368408737,5,13713169,46,2
24,480,360,1704676970563523290,1704676970574111268,5,10587978,47,2
24,480,360,1704676970563523290,1704676970593979478,5,30456188,48,2
25,480,360,1704676970771099602,1704676970782947323,5,11847721,49,2
25,480,360,1704676970771099602,1704676970784880441,5,13780839,50,2
26,480,360,1704676970979864653,1704676970990655977,5,10791324,51,2
26,480,360,1704676970979864653,1704676970992699768,5,12835115,52,2
27,480,360,1704676971187710648,1704676971199523368,5,11812720,53,2
27,480,360,1704676971187710648,1704676971201382481,5,13671833,54,2
28,480,360,1704676971396521703,1704676971407477703,5,10956000,55,2
28,480,360,1704676971396521703,1704676971409475158,5,12953455,56,2
29,480,360,1704676971604334696,1704676971616085412,5,11750716,57,2
29,480,360,1704676971604334696,1704676971617989195,5,13654499,58,2
30,480,360,1704676971813066746,1704676971824096084,5,11029338,59,2
30,480,360,1704676971813066746,1704676971826193545,5,13126799,60,2
31,480,360,1704676972021169757,1704676972033063482,5,11893725,61,2
