frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
1,360,480,1705243683010397465,1705243686041688722,5,3031291257,1,2
1,360,480,1705243683010397465,1705243686044445898,5,3034048433,2,2
2,360,480,1705243683213648779,1705243686085862876,5,2872214097,3,2
2,360,480,1705243683213648779,1705243686089225424,5,2875576645,4,2
3,360,480,1705243683416761417,1705243686098277669,5,2681516252,5,2
3,360,480,1705243683416761417,1705243686100718158,5,2683956741,6,2
4,360,480,1705243683619804717,1705243686306185614,5,2686380897,7,2
4,360,480,1705243683619804717,1705243686308475760,5,2688671043,8,2
5,360,480,1705243683823072032,1705243686514765934,5,2691693902,9,2
5,360,480,1705243683823072032,1705243686516730393,5,2693658361,10,2
6,360,480,1705243684026610364,1705243686723596271,5,2696985907,11,2
6,360,480,1705243684026610364,1705243686725496059,5,2698885695,12,2
7,360,480,1705243684229848011,1705243686932387939,5,2702539928,13,2
7,360,480,1705243684229848011,1705243686934286393,5,2704438382,14,2
8,360,480,1705243684433257668,1705243687141069599,5,2707811931,15,2
8,360,480,1705243684433257668,1705243687142981388,5,2709723720,16,2
9,360,480,1705243684636335304,1705243687349292230,5,2712956926,17,2
9,360,480,1705243684636335304,1705243687351238355,5,2714903051,18,2
10,360,480,1705243684839616286,1705243687557262512,5,2717646226,19,2
10,360,480,1705243684839616286,1705243687559179301,5,2719563015,20,2
11,360,480,1705243685042990274,1705243687765378470,5,2722388196,21,2
11,360,480,1705243685042990274,1705243687767333595,5,2724343321,22,2
12,360,480,1705243685246351595,1705243687973485094,5,2727133499,23,2
12,360,480,1705243685246351595,1705243687975358547,5,2729006952,24,2
13,360,480,1705243685449781920,1705243688181547715,5,2731765795,25,2
13,360,480,1705243685449781920,1705243688183458170,5,2733676250,26,2
14,360,480,1705243685653204578,1705243688389686674,5,2736482096,27,2
14,360,480,1705243685653204578,1705243688391764140,5,2738559562,28,2
15,360,480,1705243685856541564,1705243688597821299,5,2741279735,29,2
15,360,480,1705243685856541564,1705243688599736755,5,2743195191,30,2
16,360,480,1705243686078192720,1705243688805962926,5,2727770206,31,2
16,360,480,1705243686078192720,1705243688808360745,5,2730168025,32,2
17,360,480,1705243686294377859,1705243689014049881,5,2719672022,33,2
17,360,480,1705243686294377859,1705243689016034342,5,2721656483,34,2
18,360,480,1705243686503040519,1705243689222260512,5,2719219993,35,2
18,360,480,1705243686503040519,1705243689224208636,5,2721168117,36,2
19,360,480,1705243686711673510,1705243689428978380,5,2717304870,37,2
19,360,480,1705243686711673510,1705243689430952173,5,2719278663,38,2
20,360,480,1705243686920514180,1705243689635728584,5,2715214404,39,2
20,360,480,1705243686920514180,1705243689637723045,5,2717208865,40,2
21,360,480,1705243687129239844,1705243689842523124,5,2713283280,41,2
21,360,480,1705243687129239844,1705243689844536919,5,2715297075,42,2
22,360,480,1705243687338010843,1705243690049421004,5,2711410161,43,2
22,360,480,1705243687338010843,1705243690051396464,5,2713385621,44,2
23,360,480,1705243687546259476,1705243690256313884,5,2710054408,45,2
23,360,480,1705243687546259476,1705243690258300011,5,2712040535,46,2
24,360,480,1705243687754217757,1705243690463126758,5,2708909001,47,2
24,360,480,1705243687754217757,1705243690465107885,5,2710890128,48,2
25,360,480,1705243687962328715,1705243690670105643,5,2707776928,49,2
25,360,480,1705243687962328715,1705243690672049768,5,2709721053,50,2
26,360,480,1705243688170401336,1705243690876861848,5,2706460512,51,2
26,360,480,1705243688170401336,1705243690878842974,5,2708441638,52,2
27,360,480,1705243688378491626,1705243691083650054,5,2705158428,53,2
27,360,480,1705243688378491626,1705243691095377803,5,2716886177,54,2
28,360,480,1705243688586601250,1705243691290599604,5,2703998354,55,2
28,360,480,1705243688586601250,1705243691292605398,5,2706004148,56,2
29,360,480,1705243688794792212,1705243691497629492,5,2702837280,57,2
29,360,480,1705243688794792212,1705243691499599618,5,2704807406,58,2
30,360,480,1705243689002867167,1705243691704435366,5,2701568199,59,2
30,360,480,1705243689002867167,1705243691706407825,5,2703540658,60,2
31,360,480,1705243689211066797,1705243691911386916,5,2700320119,61,2
31,360,480,1705243689211066797,1705243691913373710,5,2702306913,62,2
32,360,480,1705243689419203423,1705243692118330799,5,2699127376,63,2
32,360,480,1705243689419203423,1705243692120291924,5,2701088501,64,2
33,360,480,1705243689625850287,1705243692325495696,5,2699645409,65,2
33,360,480,1705243689625850287,1705243692327524159,5,2701673872,66,2
34,360,480,1705243689832703830,1705243692532499916,5,2699796086,67,2
34,360,480,1705243689832703830,1705243692534489043,5,2701785213,68,2
35,360,480,1705243690039562041,1705243692739489802,5,2699927761,69,2
35,360,480,1705243690039562041,1705243692741448260,5,2701886219,70,2
36,360,480,1705243690246427586,1705243692946360013,5,2699932427,71,2
36,360,480,1705243690246427586,1705243692948351141,5,2701923555,72,2
37,360,480,1705243690453326799,1705243693153482574,5,2700155775,73,2
37,360,480,1705243690453326799,1705243693155494703,5,2702167904,74,2
38,360,480,1705243690660126339,1705243693360388121,5,2700261782,75,2
38,360,480,1705243690660126339,1705243693362369581,5,2702243242,76,2
39,360,480,1705243690867057888,1705243693567157326,5,2700099438,77,2
39,360,480,1705243690867057888,1705243693569159788,5,2702101900,78,2
40,360,480,1705243691073870763,1705243693774208549,5,2700337786,79,2
40,360,480,1705243691073870763,1705243693776146340,5,2702275577,80,2
41,360,480,1705243691280648635,1705243693981193768,5,2700545133,81,2
41,360,480,1705243691280648635,1705243693983158894,5,2702510259,82,2
42,360,480,1705243691487597851,1705243694189656748,5,2702058897,83,2
