frame number,image_height,image_width,publisher_sent,subscriber_received,frequency,latency,packets_receieved_count,transport
1,480,360,1704676205016530042,1704676205491915306,5,475385264,1,1
1,480,360,1704676205016530042,1704676205494468127,5,477938085,2,1
2,480,360,1704676205219800270,1704676205518980935,5,299180665,3,1
2,480,360,1704676205219800270,1704676205521086061,5,301285791,4,1
3,480,360,1704676205422909822,1704676205674298278,5,251388456,5,1
3,480,360,1704676205422909822,1704676205681830398,5,258920576,6,1
4,480,360,1704676205650352171,1704676205893297119,5,242944948,7,1
4,480,360,1704676205650352171,1704676205900879575,5,250527404,8,1
5,480,360,1704676205869384014,1704676206112057279,5,242673265,9,1
5,480,360,1704676205869384014,1704676206121154493,5,251770479,10,1
6,480,360,1704676206088205845,1704676206348990533,5,260784688,11,1
6,480,360,1704676206088205845,1704676206351053324,5,262847479,12,1
7,480,360,1704676206306943004,1704676206549481262,5,242538258,13,1
7,480,360,1704676206306943004,1704676206557124721,5,250181717,14,1
8,480,360,1704676206526018517,1704676206768351096,5,242332579,15,1
8,480,360,1704676206526018517,1704676206775888882,5,249870365,16,1
9,480,360,1704676206744501661,1704676206995480093,5,250978432,17,1
9,480,360,1704676206744501661,1704676206997258533,5,252756872,18,1
10,480,360,1704676206963899526,1704676207215614337,5,251714811,19,1
10,480,360,1704676206963899526,1704676207217403778,5,253504252,20,1
11,480,360,1704676207183284059,1704676207434826525,5,251542466,21,1
11,480,360,1704676207183284059,1704676207436631634,5,253347575,22,1
12,480,360,1704676207402305569,1704676207651452558,5,249146989,23,1
12,480,360,1704676207402305569,1704676207655390462,5,253084893,24,1
13,480,360,1704676207621529758,1704676207870722750,5,249192992,25,1
13,480,360,1704676207621529758,1704676207872540193,5,251010435,26,1
14,480,360,1704676207840642607,1704676208089751261,5,249108654,27,1
14,480,360,1704676207840642607,1704676208091594372,5,250951765,28,1
15,480,360,1704676208060105144,1704676208302072036,5,241966892,29,1
15,480,360,1704676208060105144,1704676208309725830,5,249620686,30,1
16,480,360,1704676208278556954,1704676208520840865,5,242283911,31,1
16,480,360,1704676208278556954,1704676208528562996,5,250006042,32,1
17,480,360,1704676208497301782,1704676208739868710,5,242566928,33,1
17,480,360,1704676208497301782,1704676208747541838,5,250240056,34,1
18,480,360,1704676208716151616,1704676208958805215,5,242653599,35,1
18,480,360,1704676208716151616,1704676208966405673,5,250254057,36,1
19,480,360,1704676208934957114,1704676209184163775,5,249206661,37,1
19,480,360,1704676208934957114,1704676209186143561,5,251186447,38,1
20,480,360,1704676209154019294,1704676209404079674,5,250060380,39,1
20,480,360,1704676209154019294,1704676209405891449,5,251872155,40,1
21,480,360,1704676209372539443,1704676209615550398,5,243010955,41,1
21,480,360,1704676209372539443,1704676209624613943,5,252074500,42,1
22,480,360,1704676209591332607,1704676209833497511,5,242164904,43,1
22,480,360,1704676209591332607,1704676209845868922,5,254536315,44,1
23,480,360,1704676209810246112,1704676210050966930,5,240720818,45,1
23,480,360,1704676209810246112,1704676210053120726,5,242874614,46,1
24,480,360,1704676210028395238,1704676210268765702,5,240370464,47,1
24,480,360,1704676210028395238,1704676210276038806,5,247643568,48,1
25,480,360,1704676210245536637,1704676210490901401,5,245364764,49,1
25,480,360,1704676210245536637,1704676210492717510,5,247180873,50,1
26,480,360,1704676210464079454,1704676210711401336,5,247321882,51,1
26,480,360,1704676210464079454,1704676210713249447,5,249169993,52,1
27,480,360,1704676210681741218,1704676210929342783,5,247601565,53,1
27,480,360,1704676210681741218,1704676210931153559,5,249412341,54,1
28,480,360,1704676210899704666,1704676211147491576,5,247786910,55,1
28,480,360,1704676210899704666,1704676211151212800,5,251508134,56,1
29,480,360,1704676211117312094,1704676211358403601,5,241091507,57,1
29,480,360,1704676211117312094,1704676211365766044,5,248453950,58,1
30,480,360,1704676211335849244,1704676211577095427,5,241246183,59,1
30,480,360,1704676211335849244,1704676211582977448,5,247128204,60,1
31,480,360,1704676211553645350,1704676211793905474,5,240260124,61,1
31,480,360,1704676211553645350,1704676211799628818,5,245983468,62,1
32,480,360,1704676211772226169,1704676212018401316,5,246175147,63,1
32,480,360,1704676211772226169,1704676212020347433,5,248121264,64,1
33,480,360,1704676211989174891,1704676212235844734,5,246669843,65,1
33,480,360,1704676211989174891,1704676212237782518,5,248607627,66,1
34,480,360,1704676212205691587,1704676212444110934,5,238419347,67,1
34,480,360,1704676212205691587,1704676212451766395,5,246074808,68,1
35,480,360,1704676212422467632,1704676212660747971,5,238280339,69,1
35,480,360,1704676212422467632,1704676212668312092,5,245844460,70,1
36,480,360,1704676212639200674,1704676212878051714,5,238851040,71,1
36,480,360,1704676212639200674,1704676212885652838,5,246452164,72,1
37,480,360,1704676212856185065,1704676213102123865,5,245938800,73,1
37,480,360,1704676212856185065,1704676213104138319,5,247953254,74,1
38,480,360,1704676213073138787,1704676213311769481,5,238630694,75,1
38,480,360,1704676213073138787,1704676213319310268,5,246171481,76,1
39,480,360,1704676213289827161,1704676213528730871,5,238903710,77,1
39,480,360,1704676213289827161,1704676213536363664,5,246536503,78,1
40,480,360,1704676213506782551,1704676213745090559,5,238308008,79,1
40,480,360,1704676213506782551,1704676213752769021,5,245986470,80,1
41,480,360,1704676213723782276,1704676213970311446,5,246529170,81,1
41,480,360,1704676213723782276,1704676213972404905,5,248622629,82,1
42,480,360,1704676213940390312,1704676214178337632,5,237947320,83,1
42,480,360,1704676213940390312,1704676214185775079,5,245384767,84,1
43,480,360,1704676214157067352,1704676214395159014,5,238091662,85,1
43,480,360,1704676214157067352,1704676214402754471,5,245687119,86,1
44,480,360,1704676214373467042,1704676214620721922,5,247254880,87,1
44,480,360,1704676214373467042,1704676214622612036,5,249144994,88,1
45,480,360,1704676214590473769,1704676214829251472,5,238777703,89,1
45,480,360,1704676214590473769,1704676214835337505,5,244863736,90,1
46,480,360,1704676214806981132,1704676215045850508,5,238869376,91,1
46,480,360,1704676214806981132,1704676215053586640,5,246605508,92,1
47,480,360,1704676215024145202,1704676215262470545,5,238325343,93,1
47,480,360,1704676215024145202,1704676215270171342,5,246026140,94,1
48,480,360,1704676215240888913,1704676215480159314,5,239270401,95,1
48,480,360,1704676215240888913,1704676215487818775,5,246929862,96,1
49,480,360,1704676215457951310,1704676215697409056,5,239457746,97,1
49,480,360,1704676215457951310,1704676215707056636,5,249105326,98,1
50,480,360,1704676215675376063,1704676215914141767,5,238765704,99,1
50,480,360,1704676215675376063,1704676215921663553,5,246287490,100,1
51,480,360,1704676215892172444,1704676216130809807,5,238637363,101,1
51,480,360,1704676215892172444,1704676216138462601,5,246290157,102,1
52,480,360,1704676216109305846,1704676216355807016,5,246501170,103,1
52,480,360,1704676216109305846,1704676216357685796,5,248379950,104,1
53,480,360,1704676216326114896,1704676216571041304,5,244926408,105,1
53,480,360,1704676216326114896,1704676216574883869,5,248768973,106,1
54,480,360,1704676216542592592,1704676216781215621,5,238623029,107,1
54,480,360,1704676216542592592,1704676216788755741,5,246163149,108,1
55,480,360,1704676216759773997,1704676216997966333,5,238192336,109,1
55,480,360,1704676216759773997,1704676217003969361,5,244195364,110,1
56,480,360,1704676216976569379,1704676217214799052,5,238229673,111,1
56,480,360,1704676216976569379,1704676217222369841,5,245800462,112,1
57,480,360,1704676217193114413,1704676217439882933,5,246768520,113,1
57,480,360,1704676217193114413,1704676217441899721,5,248785308,114,1
58,480,360,1704676217409871793,1704676217648470155,5,238598362,115,1
58,480,360,1704676217409871793,1704676217655979940,5,246108147,116,1
59,480,360,1704676217626611506,1704676217864992521,5,238381015,117,1
59,480,360,1704676217626611506,1704676217872690651,5,246079145,118,1
60,480,360,1704676217843666571,1704676218082565284,5,238898713,119,1
60,480,360,1704676217843666571,1704676218090476760,5,246810189,120,1
61,480,360,1704676218060456286,1704676218306588102,5,246131816,121,1
61,480,360,1704676218060456286,1704676218308558887,5,248102601,122,1
62,480,360,1704676218277355009,1704676218516125048,5,238770039,123,1
62,480,360,1704676218277355009,1704676218523676169,5,246321160,124,1
63,480,360,1704676218494300068,1704676218732974435,5,238674367,125,1
63,480,360,1704676218494300068,1704676218740633562,5,246333494,126,1
64,480,360,1704676218711127786,1704676218949340792,5,238213006,127,1
64,480,360,1704676218711127786,1704676218956997586,5,245869800,128,1
65,480,360,1704676218928058844,1704676219172982588,5,244923744,129,1
65,480,360,1704676218928058844,1704676219176867488,5,248808644,130,1
66,480,360,1704676219144734221,1704676219383179574,5,238445353,131,1
66,480,360,1704676219144734221,1704676219390782365,5,246048144,132,1
67,480,360,1704676219361389596,1704676219600056630,5,238667034,133,1
67,480,360,1704676219361389596,1704676219607719091,5,246329495,134,1
68,480,360,1704676219578372324,1704676219817395713,5,239023389,135,1
68,480,360,1704676219578372324,1704676219825021505,5,246649181,136,1
69,480,360,1704676219795199377,1704676220040910168,5,245710791,137,1
69,480,360,1704676219795199377,1704676220044783401,5,249584024,138,1
70,480,360,1704676220012242775,1704676220251198494,5,238955719,139,1
70,480,360,1704676220012242775,1704676220258945960,5,246703185,140,1
71,480,360,1704676220229396848,1704676220467956876,5,238560028,141,1
71,480,360,1704676220229396848,1704676220475624004,5,246227156,142,1
72,480,360,1704676220446406912,1704676220684898936,5,238492024,143,1
